aa	ɑ ɑ
immortalize	ɪ m ɔ ɹ t ə l a ɪ z
immortelle	ɪ m ɔ t ɛ l
immune	ɪ m j u n
immunifacient	ɪ m j u n ə f e ɪ ʃ n̩ t
immunodeficiency	ɪ m j u n o ʊ d ɪ f ɪ ʃ ə n s i
immunoglobular	ɪ m j ʊ n o ʊ ɡ l ɔ b j ʊ l ə ɹ
immure	ɪ m j ʊ ə r
immutably	ɪ m j u t ə b l ɪ
imogen	ɪ m ə d͡ʒ ɪ n
impactful	ɪ m p æ k t f ə l
impair	ɪ m p ɛ
impala	ɪ m p ɑ l ə
impale	ɪ m p e ɪ l
impaled	ɪ m p e ɪ l d
impales	ɪ m p e ɪ l z
impaling	ɪ m p e ɪ l ɪ ŋ
imparisyllabic	ɪ m p æ ɹ ɪ s ɪ l æ b ɪ k
impart	ɪ m p ɑ ɹ t
impartial	ɪ m p ɑ ɹ ʃ ə l
impasse	ɪ m p æ s
impassive	ɪ m p æ s ɪ v
impatience	ɪ m p e ɪ ʃ ə n s
impatient	ɪ m p e ɪ ʃ ə n t
impatiently	ɪ m p e ɪ ʃ ə n t l i
impeach	ɪ m p i t͡ʃ
impeccably	ɪ m p ɛ k ə b l i
impede	ɪ m p i d
impediment	ɪ m p ɛ d ɪ m ə n t
impel	ɪ m p ɛ l
impelled	ɪ m p ɛ l d
impelling	ɪ m p ɛ l ɪ ŋ
impels	ɪ m p ɛ l z
imperate	ɪ m p ə ɹ ə t
imperative	ɪ m p ɛ ɹ ə t ɪ v
imperfection	ɪ m p ɚ f ɛ k ʃ ə n
imperial	ɪ m p ɪ ɹ i ə l
imperialism	ɪ m p ɪ ɹ i ə l ɪ z m̩
imperialistic	ɪ m p ɪ ɹ i ə l ɪ s t ɪ k
imperil	ɪ m p ɛ ɹ ə l
imperious	ɪ m p ɪ ɹ i ə s
impermeability	ɪ m p ɝ m i ə b ɪ l ɪ t i
impermissible	ɪ m p ɝ m ɪ s ɪ b l
impersonal	ɪ m p ɝ s ə n ə l
impersonate	ɪ m p ɜ s ə n e ɪ t
impertinence	ɪ m p ɝ t i n ə n s
impertinent	ɪ m p ɝ t i n ə n t
imperturbable	ɪ m p ɚ t ɝ b ə b ə l
impervious	ɪ m p ɝ v i ə s
impetrate	ɪ m p ɪ t ɹ e ɪ t
impetration	ɪ m p ɪ t ɹ e ɪ ʃ ə n
impetrative	ɪ m p ɛ t ɹ ə t ɪ v
impetuous	i m p ɛ t͡ʃ u ə s
impetus	ɪ m p ə t ə s
imphal	ɪ m p ɑ l
impinge	ɪ m p ɪ n d͡ʒ
impingement	ɪ m p ɪ n d͡ʒ m ə n t
impings	ɪ m p ɪ ŋ z
impish	ɪ m p ɪ ʃ
implacable	ɪ m p l æ k ə b ə l
implementation	ɪ m p l ɪ m ə n t e ɪ ʃ n
implex	ɪ m p l ɛ k s
implication	ɪ m p l ə k e ɪ ʃ ə n
implicit	ɪ m p l ɪ s ɪ t
implied	ɪ m p l a ɪ d
implies	ɪ m p l a ɪ z
implike	ɪ m p l a ɪ k
implore	ɪ m p l ɔ ɹ
imply	ɪ m p l a ɪ
impolite	ɪ m p ə l a ɪ t
impone	ɪ m p o ʊ n
importancy	ɪ m p ɔ ɹ t ə n s i
important	ɪ m p ɔ ɹ t ə n t
importunacy	ɪ m p o ɹː t ʊː n ə s i
importune	ɪ m p ɔ ɹ t u n
importunity	ɪ m p ɔ ɹ t u n ɪ t i
impose	ɪ m p o ʊ z
imposed	ɪ m p o ʊ z d
imposing	ɪ m p o ʊ z ɪ ŋ
impossibility	ɪ m p ɑ s ɪ b ɪ l i t i
impossible	ɪ m p ɑ s ə b l
impost	ɪ m p o ʊ s t
impostor	ɪ m p ɑ s t ɚ
impotence	ɪ m p ə t ə n s
impoverished	ɪ m p ɑ v ə ɹ ɪ ʃ t
imprecate	ɪ m p ɹ ə k e ɪ t
imprecise	ɪ m p ɹ ə s a ɪ s
impregnable	ɪ m p ɹ ɛ ɡ n ə b ə l
impregnate	ɪ m p ɹ ɛ ɡ n e ɪ t
impression	ɪ m p ɹ ɛ ʃ ə n
impressionability	ɪ m p ɹ ɛ ʃ ʌ n ʌ b ɪ l ɪ t i
impressions	ɪ m p ɹ ɛ ʃ ə n z
impressive	ɪ m p ɹ ɛ s ɪ v
impressment	ɪ m p ɹ ɛ s m ə n t
imprimantur	ɪ m p ɹ ɪ m æ n t ʊ ɹ
impriming	ɪ m p ɹ a ɪ m ɪ ŋ
imprint	ɪ m p ɹ ɪ n t
imprison	ɪ m p ɹ ɪ z ə n
imprisoned	ɪ m p ɹ ɪ z ə n d
imprisoning	ɪ m p ɹ ɪ z ə n ɪ ŋ
imprisons	ɪ m p ɹ ɪ z ə n z
improbable	ɪ m p ɹ ɑ b ə b l̩
improper	ɪ m p ɹ ɑ p ɚ
impropitious	ɪ m p ɹ ə p ɪ ʃ ə s
improv	ɪ m p ɹ ɑ v
improve	ɪ m p ɹ u v
improved	ɪ m p ɹ u v d
improvement	ɪ m p ɹ u v m ə n t
improvements	ɪ m p ɹ u v m ə n t s
improvident	ɪ m p ɹ ɔ v ɪ d ə n t
improving	ɪ m p ɹ u v ɪ ŋ
improvisatrice	ɪ m p ɹ ɔ v ə z ə t ɹ i t͡ʃ i
improvise	ɪ m p ɹ ə v a ɪ z
imprudence	ɪ m p ɹ u d n̩ s
imprudent	ɪ m p ɹ u d ə n t
impudent	ɪ m p j ə d ə n t
impugn	ɪ m p j u n
impulse	ɪ m p ʌ l s
impulses	ɪ m p ʌ l s ɪ z
impulsive	ɪ m p ʌ l s ɪ v
impunity	ɪ m p j u n ɪ t i
imputation	ɪ m p j ʊ t e ɪ ʃ ə n
impute	ɪ m p j u t
inability	ɪ n ə b ɪ l ɪ t i
inaccurate	ɪ n æ k j ʊ ɹ ə t
inaction	ɪ n æ k ʃ ə n
inactivate	ɪ n æ k t ɪ v e ɪ t
inactive	ɪ n æ k t ɪ v
inadequate	ɪ n æ d ə k w ɪ t
inaniloquent	ɪ n e ɪ n ɪ l o ʊ k w ə n t
inanition	ɪ n ə n ɪ ʃ ə n
inapposite	ɪ n æ p ə z ɪ t
inappreciable	ɪ n ə p ɹ i ʃ ə b ə l
inappropriate	ɪ n ə p ɹ o ʊ p ɹ i ə t
inappropro	ɪ n ə p ɹ o ʊ p ɹ o ʊ
inapt	ɪ n æ p t
inarticulate	ɪ n ɑ ɹ t ɪ k j ə l ə t
inasmuch	ɪ n ə z m ʌ t͡ʃ
inattentive	ɪ n ə t ɛ n t ɪ v
inboard	ɪ n b ɔ ɹ d
inborn	ɪ n b ɔ ɹ n
inburning	ɪ n b ɜ ɹ n ɪ ŋ
inca	ɪ ŋ k ə
incalescent	ɪ n k ə l ɛ s ə n t
incantation	i n k æ n t e ɪ ʃ ə n
incapacitation	ɪ n k ə p æ s ɪ t e ɪ ʃ ə n
incapacity	ɪ n k ə p æ s ɪ t i
incarcerate	ɪ n k ɑ ɹ s ə ɹ e ɪ t
incarnadine	ɪ n k ɑ ɹ n ə d i n
incarnation	ɪ ŋ k ɑ ɹ n e ɪ ʃ ə n
incautious	ɪ n k ɑ ʃ ə s
incense	ɪ n s ɛ n s
incentive	ɪ n s ɛ n t ɪ v
inceptive	ɪ n s ɛ p t ɪ v
incessantly	ɪ n s ɛ s ə n t l i
incessive	ɪ n s s ɛ s ɪ v
incest	ɪ n s ɛ s t
inch	ɪ n t͡ʃ
inched	ɪ n t͡ʃ t
inches	ɪ n t͡ʃ ɪ z
inching	ɪ n t͡ʃ ɪ ŋ
inchings	ɪ n t͡ʃ ɪ ŋ z
inchmeal	ɪ n t͡ʃ m i l
inchworm	ɪ n t͡ʃ w ɝ m
incide	ɪ n s a ɪ d
incident	ɪ n s ɪ d ə n t
incipient	ɪ n s ɪ p i ə n t
incipit	ɪ n s ɪ p ɪ t
incision	ɪ n s ɪ ʒ ə n
incisive	ɪ n s a ɪ s ɪ v
incisiveness	ɪ n s a ɪ s ə v n ə s
incisivity	ɪ n s a ɪ s ɪ v ɪ t ɪ
incisor	ɪ n s a ɪ z ə ɹ
incite	ɪ n s a ɪ t
inciteful	ɪ n s a ɪ t f ə l
incitement	ɪ n s a ɪ t m ə n t
incivil	ɪ n s ɪ v ɪ l
incivility	ɪ n s ɪ v ɪ l ɪ t i
inclination	ɪ n k l ɪ n e ɪ ʃ ə n
inclined	ɪ n k l a ɪ n d
inclusion	ɪ n k l u ʒ ə n
incombustible	ɪ ŋ k ə m b ʌ s t ɪ b ə l
income	ɪ n k ʌ m
incompatibility	ɪ n k ə m p æ t ɪ b ɪ l ɪ t i
incompatible	ɪ ŋ k ə m p æ t ɪ b ə l
incomplete	ɪ n k ə m p l i t
inconceivable	ɪ ŋ k ə n s i v ə b ɫ̩
inconcerning	ɪ ŋ k ə n s ɜ ɹ n ɪ ŋ
inconclusion	ɪ ŋ k ə n k l u ʒ ə n
inconditionate	ɪ ŋ k ə n d ɪ ʃ ə n ə t
inconsequentially	ɪ n k ɔ n s ɪ k w e n ʃ ə l i
inconsiderate	ɪ n k ə n s ɪ d ə ɹ ɪ t
inconsistency	ɪ n k ə n s ɪ s t ə n s i
inconsistent	ɪ n k ə n s ɪ s t ə n t
inconspicuous	ɪ n k ə n s p ɪ k j u ə s
incontaminate	ɪ ŋ k ə n t æ m ɪ n ə t
incontrovertibly	ɪ n k ɑ n t ɹ ə v ɝ t ə b l i
inconvenience	ɪ n k ə n v i n j ə n s
incony	ɪ ŋ k ʌ n i
incorporation	ɪ ŋ k ɔ ɹ p ə ɹ e ɪ ʃ ə n
incorporeal	ɪ ŋ k ɔ ɹ p ɔ ɹ i ə l
incorrect	ɪ n k ə ɹ ɛ k t
incorrigible	ɪ n k ɔ ɹ i d͡ʒ i b ə l
increased	ɪ n k ɹ i s t
increasing	ɪ n k ɹ i s ɪ ŋ
incredible	ɪ ŋ k ɹ ɛ d ə b ə l
incredibly	ɪ ŋ k ɹ ɛ d ɪ b l i
incredulity	ɪ n k ɹ ɪ d j u l ɪ t i
incredulous	ɪ n k r ɛ d͡ʒ ə l ə s
incrementation	ɪ ŋ k ɹ ə m ə n t e ɪ ʃ ə n
incriminate	ɪ ŋ k ɹ ɪ m ɪ n e ɪ t
incruental	ɪ ŋ k ɹ u ɛ n t ə l
incrustation	ɪ n k ɹ ʌ s t e ɪ ʃ ə n
incubate	ɪ ŋ k j ʊ b e ɪ t
inculcate	ɪ n k ʌ l k e ɪ t
incumbency	ɪ ŋ k ʌ m b ə n s i
incumbent	ɪ n k ʌ m b ə n t
incumbrance	ɪ n k ʌ m b ɹ ə n t s
incunable	ɪ n k j u n ə b ə l
incunabulum	ɪ n k j ʊ n æ b j ʊ l ə m
incur	ɪ n k ɝ
incus	ɪ ŋ k ə s
indaba	ɪ n d ɑ b ə
indalpine	ɪ n d ə l p i n
indatraline	ɪ n d æ t ɹ ə l i n
indebted	ɪ n d ɛ t ɪ d
indeciduous	ɪ n d ɪ s ɪ d j u ə s
indecision	ɪ n d ɪ s ɪ ʒ ə n
indecisive	ɪ n d ɪ s a ɪ s ɪ v
indecomposable	ɪ n d i k ə m p o ʊ z ə b ə l
indeed	ɪ n d i d
indefatigable	ɪ n d ə f æ t ə ɡ ə b ə l
indefeasibility	ɪ n d ɪ f i z ɪ b ɪ l ɪ t i
indefectible	ɪ n d ɪ f ɛ k t ɪ b ə l
indeficient	ɪ n d ɪ f ɪ ʃ ə n t
indelible	ɪ n d ɛ l ə b l
indemnification	ə n d ɛ m n ə f ə k e ɪ ʃ ə n
indemnity	ɪ n d ɛ m n ɪ t i
indenture	ɪ n d ɛ n ʃ ɝ
indentured	ɪ n d ɛ n t͡ʃ ɚ d
independence	ɪ n d ɪ p ɛ n d ə n s
independent	ɪ n d ɪ p ɛ n d ə n t
independentist	ɪ n d ə p ɛ n d ə n t ɪ s t
indescribable	ɪ n d ɪ s k ɹ a ɪ b ə b l̩
indeterminate	ɪ n d ɪ t ɜ ɹ m ɪ n ə t
indevotional	ɪ n d ɪ v o ʊ ʃ ə n ə l
indevout	ɪ n d ɪ v a ʊ t
index	ɪ n d ɛ k s
indexes	ɪ n d ɛ k s ɪ z
india	ɪ n d i ə
indian	ɪ n d i ə n
indianapolis	ɪ n d i ə n æ p ə l ɪ s
indicate	ɪ n d ɪ k e ɪ t
indicated	ɪ n d ɪ k e ɪ t ɪ d
indicates	ɪ n d ɪ k e ɪ t s
indicating	ɪ n d ɪ k e ɪ t ɪ ŋ
indication	ɪ n d ɪ k e ɪ ʃ ə n
indicative	ɪ n d ɪ k ə t ɪ v
indice	ɪ n d ɪ s
indices	ɪ n d ɪ s i z
indict	ɪ n d a ɪ t
indictment	ɪ n d a ɪ t m ə n t
indie	ɪ n d i
indigence	ɪ n d ɪ d͡ʒ ə n s
indigent	ɪ n d ɪ d͡ʒ ə n t
indigested	ɪ n d ɪ d͡ʒ ɛ s t ɪ d
indignant	ɪ n d ɪ ɡ n ə n t
indigo	ɪ n d ɪ ɡ o ʊ
indinavir	ɪ n d ɪ n ə v ɪ ɹ
indiscovery	ɪ n d ɪ s k ʌ v ə ɹ i
indisposition	ɪ n d ɪ s p ə z ɪ ʃ ə n
indissipable	ɪ n d ɪ s ɪ p ə b ə l
indite	ɪ n d a ɪ t
indium	ɪ n d i ə m
individuable	ɪ n d ɪ v ɪ d j u ə b ə l
individuals	ɪ n d ɪ v ɪ d͡ʒ u ə l z
individuum	ɪ n d ɪ v ɪ d u ə m
indivisible	ɪ n d ɪ v ɪ z ɪ b ə l
indiwiddle	ɪ n d i w ɪ d ə l
indochina	ɪ n d o ʊ̯ t͡ʃ a ɪ̯ n ə
indoctrinational	ɪ n d ɔ k t ɹ ɪ n e ɪ ʃ ə n ə l
indolence	ɪ n d ə l ə n s
indolent	ɪ n d ə l ə n t
indometacin	ɪ n d o ʊ m ɛ t ə s ɪ n
indomethacin	ɪ n d o ʊ m ɛ θ ə s ɪ n
indominable	ɪ n d ɑ m ɪ n ə b l̩
indomitability	ɪ n d ɑ m ɪ t ə b l̩ ɪ t i
indomitable	ɪ n d ɑ m ɪ t ə b l̩
indonesia	ɪ n d ə n i ʒ ə
indonesian	ɪ n d ə n i ʒ ə n
indoor	ɪ n d ɔ ɹ
indoors	ɪ n d ɔ ɹ z
indri	ɪ n d ɹ i
induce	ɪ n d u s
induced	ɪ n d u s t
inducing	ɪ n d j u s ɪ ŋ
inductive	ɪ n d ʌ k t ɪ v
indulge	ɪ n d ʌ l d͡ʒ
indulged	ɪ n d ʌ l d͡ʒ d
indulgence	ɪ n d ʌ l d͡ʒ ə n s
indulges	ɪ n d ʌ l d͡ʒ ɪ z
indulging	ɪ n d ʌ l d͡ʒ ɪ ŋ
induplicative	ɪ n d j u p l ɪ k e ɪ t ɪ v
induration	ɪ n d j ʊ ɹ e ɪ ʃ ə n
indus	ɪ n d ə s
industrial	ɪ n d ʌ s t ɹ ɪ ə l
industrialize	ɪ n d ʌ s t ɹ i ə l a ɪ z
industrials	ɪ n d ʌ s t ɹ ɪ ə l z
industries	ɪ n d ə s t ɹ i z
industrious	ɪ n d ʌ s t ɹ i ə s
indy	ɪ n d i
indyref	ɪ n d ɪ ɹ ɛ f
inebriated	ɪ n i b ɹ i e ɪ t ɪ d
ineconomy	ɪ n ə k ɔ n ə m i
ineffable	ɪ n ɛ f ə b ə l
inefficient	ɪ n ɪ f ɪ ʃ ə n t
inelastic	ɪ n ə l æ s t ɪ k
inelegant	ɪ n ɛ l ɪ ɡ ə n t
inenarrable	ɪ n ɪ n æ ɹ ə b ə l
inenubilable	ɪ n ɪ n j u b ɪ l ə b ə l
inept	ɪ n ɛ p t
inequality	ɪ n ɪ k w ɔ l ɪ t i
inergetic	ɪ n ə ɹ d͡ʒ ɛ t ɪ k
inerrable	ɪ n ɜ ɹ ə b ə l
inerrancy	ɪ n ɛ ɹ ə n s i
inerrant	ɪ n ɛ r ə n t
inert	ɪ n ɝ t
inertia	ɪ n ɝ ʃ ə
inesculent	ɪ n ɛ s k j ʊ l ə n t
inevitability	ɪ n ɛ v ɪ t ə b ɪ l ɪ t i
inevitable	ɪ n ɛ v ɪ t ə b ə l
inexhaustible	ɪ n ɪ ɡ z ɔ s t ɪ b l̩
inexistence	ɪ n ɪ ɡ z ɪ s t ə n s
inexistent	ɪ n ɪ ɡ z ɪ s t ə n t
inexorably	ɪ n ɛ k s ə ɹ ə b l i
inexperienced	ɪ n ə k s p ɪ ə ɹ i ə n s t
infallible	ɪ n f æ l ə b ə l
infamous	ɪ n f ə m ə s
infamy	ɪ n f ə m i
infangthief	ɪ n f æ ŋ θ i f
infant	ɪ n f ə n t
infantilize	ɪ n f æ n t ɪ l a ɪ z
infantorium	ɪ n f ə n t ɔ ɹ i ə m
infarct	ɪ n f ɑ r k t
infeasibly	ɪ n f i z ɪ b ə l i
infective	ɪ n f ɛ k t ɪ v
infelt	ɪ n f ɛ l t
infer	ɪ n f ɝ
inference	ɪ n f ə ɹ ə n s
inferior	ɪ n f ɪ ə ɹ i ɚ
infernal	ɪ n f ə ɹ n ə l
inferno	ɪ n f ɝ n o ʊ
inferred	ɪ n f ɝ d
infest	ɪ n f ɛ s t
infestation	ɪ n f ɛ s t e ɪ ʃ ə n
infibulation	ɪ n f ɪ b j ʊ l e ɪ ʃ ə n
infiltration	ɪ n f ɪ l t ɹ e ɪ ʃ ə n
infiltrationism	ɪ n f ɪ l t ɹ e ɪ ʃ ə n ɪ z m̩
infiltratrix	ɪ n f ɪ l t ɹ e ɪ t ɹ ɪ k s
infinitely	ɪ n f ɪ n ɪ t l i
infinitesimal	ɪ n f ɪ n ɪ t ɛ s ɪ m ə l
infinity	ɪ n f ɪ n ɪ t i
infirm	ɪ n f ɝ m
infirmarer	ɪ n f ɝ m ə ɹ ɚ
infirmary	ɪ n f ɝ m ə ɹ i
inflame	ɪ n f l e ɪ m
inflamed	ɪ n f l e ɪ m d
inflammable	ɪ n f l æ m ə b ə l
inflammage	ɪ n f l ə m e ɪ d͡ʒ
inflate	ɪ n f l e ɪ t
inflation	ɪ n f l e ɪ ʃ ə n
inflect	ɪ n f l ɛ k t
inflexible	ɪ n f l ɛ k s ə b l̩
inflict	ɪ n f l ɪ k t
inflicted	ɪ n f l ɪ k t ɪ d
inflicter	ɪ n f l ɪ k t ə ɹ
infliction	ɪ n f l ɪ k ʃ ə n
infliximab	ɪ n f l ɪ k s ɪ m æ b
inflood	i n f l ʌ d
influence	ɪ n f l u ə n s
influenced	ɪ n f l u ə n s t
influences	ɪ n f l j u ə n s ɪ z
influential	ɪ n f l u ɛ n ʃ ə l
influenza	ɪ n f l u ɛ n z ə
infoporn	ɪ n f o ʊ p ɔ ɹ n
inform	ɪ n f ɔ ɹ m
informal	ɪ n f ɔ ɹ m ə l
informant	ɪ n f ɔ ɹ m ə n t
informational	ɪ n f ə ɹ m e ɪ ʃ ə n ə l
informatisation	ɪ n f ə ɹ m a t a ɪ z e ɪ ʃ ə n
informative	ɪ n f ɔ ɹ m ə t ɪ v
informed	ɪ n f ɔ ɹ m d
infotainment	ɪ n f o ʊ t e ɪ n m ə n t
infra	ɪ n f ɹ ə
infraction	ɪ n f ɹ æ k ʃ ə n
infrastructure	ɪ n f ɹ ə s t ɹ ʌ k t͡ʃ ɚ
infrigidate	ɪ n f ɹ ɪ d͡ʒ ɪ d e ɪ t
infrigidation	ɪ n f ɹ ɪ d͡ʒ ɪ d e ɪ ʃ ə n
infringe	ɪ n f ɹ ɪ n d͡ʒ
infringement	ɪ n f ɹ ɪ n d͡ʒ m ə n t
infuse	ɪ n f j u z
infusion	ɪ n f j u ʒ ə n
infusive	ɪ n f j u s ɪ v
ingate	ɪ n ɡ e ɪ t
ingemination	ɪ n d͡ʒ ɛ m ɪ n e ɪ ʃ ə n
ingenue	ɑ n ʒ ə n u
ingenuitive	ɪ n d͡ʒ ə n j u ə t ɪ v
ingenuity	ɪ n d͡ʒ ə n j u ə t i
ingest	ɪ n d͡ʒ ɛ s t
ingestion	ɪ n d͡ʒ ɛ s t͡ʃ ə n
inglenook	ɪ ŋ ɡ ə l n ʊ k
ingram	ɪ ŋ ɡ ɹ ə m
ingrate	ɪ n ɡ ɹ e ɪ t
ingratiate	ɪ n ɡ ɹ e ɪ ʃ i e ɪ t
ingravidate	ɪ ŋ ɡ ɹ æ v ɪ d e ɪ t
ingredient	ɪ n ɡ ɹ i d i ə n t
ingrew	ɪ n ɡ r u
ingrow	ɪ n ɡ ɹ o ʊ
ingrown	ɪ n ɡ ɹ o ʊ n
inguinal	ɪ ŋ ɡ w ɪ n ə l
ingushetia	ɪ ŋ ɡ ʊ ʃ ɛ t i ə
inhabit	ɪ n h æ b ɪ t
inhabitable	ɪ n h æ b ɪ ɾ ə b ə l
inhabitant	ɪ n h æ b ɪ t ə n t
inhabited	ɪ n h æ b ɪ t ɪ d
inhabiter	ɪ n h æ b ɪ ɾ ə ɹ
inhabitiveness	ɪ n h æ b ɪ t ɪ v n ə s
inhalation	ɪ n h ə l e ɪ ʃ ə n
inhale	ɪ n h e ɪ l
inherently	ɪ n h ɛ ɹ ə n t l i
inherit	ɪ n h ɛ ɹ ɪ t
inheritance	ɪ n h ɛ ɹ ə t ə n s
inherited	ɪ n h ɛ ɹ ɪ t ɪ d
inhiation	ɪ n h a ɪ e ɪ ʃ ə n
inhibit	ɪ n h ɪ b ɪ t
inhofe	ɪ n h o ʊ f
inhospitable	ɪ n h ɔ s p ɪ t ə b ə l
inhuman	ɪ n h j u m ə n
inhumane	ɪ n h j u m e ɪ n
inhumanly	ɪ n h j u m ə n l i
inhumation	ɪ n h j u m e ɪ ʃ ə n
inimical	ɪ n ɪ m ɪ k ə l
inimicitious	ɪ n ɪ m ɪ s ɪ ʃ ə s
iniquitous	ɪ n ɪ k w i t ə s
iniquity	ɪ n ɪ k w ɪ t i
initial	ɪ n ɪ ʃ ə l
initialism	ɪ n ɪ ʃ ə l ɪ z ə m
initiation	ɪ n ɪ ʃ i e ɪ ʃ ə n
initiative	ɪ n ɪ ʃ ə t ɪ v
injection	ɪ n d͡ʒ ɛ k ʃ ə n
injections	ɪ n d͡ʒ ɛ k ʃ ə n s
injector	ɪ n d͡ʒ ɛ k t ɚ
injudiciously	ɪ n d͡ʒ ʊ d ɪ ʃ ə s l ɪ
injunction	ɪ n d͡ʒ ʌ n k ʃ ə n
injure	ɪ n d͡ʒ ɚ
injured	ɪ n d͡ʒ ɚ d
injustice	ɪ n d͡ʒ ʌ s t ɪ s
inkhorn	ɪ ŋ k h ɔ ɹ n
inkstick	ɪ ŋ k s t ɪ k
inland	ɪ n l ə n d
inlay	ɪ n l e ɪ
inman	ɪ n m ə n
inn	ɪ n
innate	ɪ n e ɪ t
inner	ɪ n ɚ
innermost	ɪ n ɚ m o ʊ s t
innernet	ɪ n ɚ n ɛ t
innie	ɪ n i
inning	ɪ n ɪ ŋ
innit	ɪ n ɪ t
innkeeper	ɪ n k i p ə ɹ
innocence	ɪ n ə s n̩ s
innocency	ɪ n ə s ə n s i
innocent	ɪ n ə s n̩ t
innocently	ɪ n ə s ə n t l i
innocuous	ɪ n ɑ k j u ə s
innovation	ɪ n ə v e ɪ ʃ ə n
inns	ɪ n z
innumerable	ɪ n u m ə ɹ ə b ə l
innumerous	ɪ n n u m ɝ ə s
inoculate	ɪ n ɑ k j u l e ɪ t
inoculation	ɪ n ɑ k j ə l e ɪ ʃ ə n
inordinate	ɪ n ɔ ɹ d n̩ ɪ t
inorganity	ɪ n ɔ ɹ ɡ æ n ɪ t i
inosculate	ɪ n ɔ s k j ʊ l e ɪ t
inosite	ɪ n ə s a ɪ t
inpat	ɪ n p æ t
input	ɪ n p ʊ t
inquest	ɪ ŋ k w ɛ s t
inquiline	ɪ ŋ k w ɪ l a ɪ n
inquinate	ɪ n k w ɪ n e ɪ t
inquiration	ɪ ŋ k w ɪ ɹ e ɪ ʃ ə n
inquiries	ɪ n k w ɪ ɹ i z
inquisition	ɪ ŋ k w ɪ z ɪ ʃ ə n
inquisitive	ɪ ŋ k w ɪ z ə t ɪ v
inroads	ɪ n ɹ o ʊ d z
insalubrious	ɪ n s ə l u b ɹ ɪ ə s
insanely	ɪ n s e ɪ n l i
insanity	ɪ n s æ n ɪ t i
inscribe	ɪ n s k ɹ a ɪ b
inscribed	ɪ n s k ɹ a ɪ b d
inscription	ɪ n s k ɹ ɪ p ʃ ə n
insectivore	ɪ n s ɛ k t ə v ɔ ɹ
insectivorous	ɪ n s ɛ k t ɪ v ə ɹ ə s
insects	ɪ n s ɛ k t s
insensate	ɪ n s ɛ n s ə t
insensible	ɪ n s ɛ n s ɪ b l̩
insensitive	ɪ n s ɛ n s ɪ t ɪ v
inseparable	i n s ɛ p ə ɹ ə b l
insert	ɪ n s ɝ t
inserted	ɪ n s ɝ t ɪ d
insertion	ɪ n s ɝ ʃ ə n
inset	ɪ n s ɛ t
inshallah	ɪ n ʃ ɑ l ə
inship	i n ʃ i p
inside	ɪ n s a ɪ d
insider	ɪ n s a ɪ d ɚ
insight	ɪ n s a ɪ t
insightful	ɪ n s a ɪ t f ə l
insignia	ɪ n s ɪ ɡ n i ə
insignificant	ɪ n s ɪ ɡ n ɪ f ɪ k ə n t
insinuate	ɪ n s ɪ n j u e ɪ t
insipid	ɪ n s ɪ p ɪ d
insist	ɪ n s ɪ s t
insisted	ɪ n s ɪ s t ɪ d
insistent	ɪ n s ɪ s t ə n t
insisting	ɪ n s ɪ s t ɪ ŋ
insists	ɪ n s ɪ s t s
insole	ɪ n s o ʊ l
insolence	ɪ n s ə l ə n s
insolvable	ɪ n s ɔ l v ə b ə l
insomnia	ɪ n s ɔ m n i ə
insomuch	ɪ n s o ʊ m ʌ t͡ʃ
insouciance	ɪ n s u s i ə n s
inspect	ɪ n s p ɛ k t
inspection	ɪ n s p ɛ k ʃ ə n
inspector	ɪ n s p ɛ k t ɚ
inspissate	ɪ n s p ɪ s e ɪ t
inspo	ɪ n s p o ʊ
instagrammable	ɪ n s t ə ɡ r æ m ə b ə l
install	ɪ n s t ɔ l
installed	ɪ n s t ɔ l d
installment	ɪ n s t ɔ l m ə n t
instance	ɪ n s t ə n s
instances	ɪ n s t ə n s ɪ z
instant	ɪ n s t ə n t
instantiate	ɪ n s t æ n ʃ i e ɪ t
instar	ɪ n s t ɑ ɹ
instead	ɪ n s t ɛ d
insteep	ɪ n s t i p
instigate	ɪ n s t ə ɡ e ɪ t
instigator	ɪ n s t ə ɡ e ɪ t ɚ
instinct	ɪ n s t ɪ ŋ k t
instinctive	ɪ n s t ɪ ŋ k t ɪ v
instinctively	ɪ n s t ɪ ŋ k t ɪ v l i
instincts	ɪ n s t ɪ ŋ k t s
instituted	ɪ n s t ɪ t j u t ɪ d
institution	ɪ n s t ɪ t u ʃ ə n
institutionalist	ɪ n s t ɪ t j u ʃ ə n ə l ɪ s t
institutionalize	ɪ n s t ɪ t j u ʃ ə n ə l a ɪ z
institutions	ɪ n s t ɪ t u ʃ ə n z
instow	ɪ n s t o ʊ
instruction	ɪ n s t ɹ ʌ k ʃ ə n
instructions	ɪ n s t ɹ ʌ k ʃ ə n z
instructive	ɪ n s t ɹ ʌ k t ɪ v
insufferable	ɪ n s ʌ f ɚ ə b ə l
insufficient	ɪ n s ə f ɪ ʃ ə n t
insufflate	ɪ n s ʌ f l e ɪ t
insulate	ɪ n s ə l e ɪ t
insulation	ɪ n s ə l e ɪ ʃ ə n
insulator	ɪ n s j ə l e ɪ t ə ɹ
insulin	ɪ n s ə l ɪ n
insulinotropic	ɪ n s j ʊ l ɪ n ə t ɹ ɔ p ɪ k
insult	ɪ n s ʌ l t
insulted	ɪ n s ʌ l t ɪ d
insulting	ɪ n s ʌ l t ɪ ŋ
insuperable	ɪ n s u p ə ɹ ə b ə l
