ააგო	ɑ ɑ ɡ ɔ
მოდერატორი	m ɔ d ɛ r ɑ tʼ ɔ r i
მოდერნიზაცია	m ɔ d ɛ r n i z ɑ t͡s i ɑ
მოდერნიზმი	m ɔ d ɛ r n i z m i
მოდერნისტი	m ɔ d ɛ r n i s tʼ i
მოდერნისტული	m ɔ d ɛ r n i s tʼ u l i
მოდი	m ɔ d i
მოდიოდა	m ɔ d i ɔ d ɑ
მოდის	m ɔ d i s
მოდუნებულად	m ɔ d u n ɛ b u l ɑ d
მოდურად	m ɔ d u r ɑ d
მოდური	m ɔ d u r i
მოედანი	m ɔ ɛ d ɑ n i
მოვა	m ɔ v ɑ
მოვალეობა	m ɔ v ɑ l ɛ ɔ b ɑ
მოვილაპარაკებთ	m ɔ v i l ɑ pʼ ɑ r ɑ kʼ ɛ b tʰ
მოვლენა	m ɔ v l ɛ n ɑ
მოვლის	m ɔ v l i s
მოზაიკური	m ɔ z ɑ i kʼ u r i
მოზამბიკი	m ɔ z ɑ m b i kʼ i
მოთეთრო	m ɔ tʰ ɛ tʰ r ɔ
მოთმინება	m ɔ tʰ m i n ɛ b ɑ
მოთხოვნა	m ɔ tʰ x ɔ v n ɑ
მოთხრობა	m ɔ tʰ x r ɔ b ɑ
მოიგეთ	m ɔ i ɡ ɛ tʰ
მოითხოვს	m ɔ i tʰ x ɔ v s
მოისმენს	m ɔ i s m ɛ n s
მოიცა	m ɔ i t͡s ɑ
მოიჯარე	m ɔ i d͡ʒ ɑ r ɛ
მოკავშირე	m ɔ kʼ ɑ v ʃ i r ɛ
მოკასინი	m ɔ kʼ ɑ s i n i
მოკვლა	m ɔ kʼ v l ɑ
მოკლედ	m ɔ kʼ l ɛ d
მოკლევადიანი	m ɔ kʼ l ɛ v ɑ d i ɑ n i
მოკრძალებულად	m ɔ kʼ r d͡z ɑ l ɛ b u l ɑ d
მოლაპარაკება	m ɔ l ɑ pʼ ɑ r ɑ kʼ ɛ b ɑ
მოლარე	m ɔ l ɑ r ɛ
მოლეკულა	m ɔ l ɛ kʼ u l ɑ
მოლეკულური	m ɔ l ɛ kʼ u l u r i
მომაბეზრებელი	m ɔ m ɑ b ɛ z r ɛ b ɛ l i
მომავალი	m ɔ m ɑ v ɑ l i
მომავალში	m ɔ m ɑ v ɑ l ʃ i
მომაკვდინებლად	m ɔ m ɑ kʼ v d i n ɛ b l ɑ d
მომართავს	m ɔ m ɑ r tʰ ɑ v s
მომგებიანად	m ɔ m ɡ ɛ b i ɑ n ɑ d
მომდევნო	m ɔ m d ɛ v n ɔ
მომენტალური	m ɔ m ɛ n tʼ ɑ l u r i
მომენტი	m ɔ m ɛ n tʼ i
მომჟავო	m ɔ m ʒ ɑ v ɔ
მომჩივანი	m ɔ m t͡ʃ i v ɑ n i
მომწამლავად	m ɔ m t͡sʼ ɑ m l ɑ v ɑ d
მომწვანო	m ɔ m t͡sʼ v ɑ n ɔ
მომწონს	m ɔ m t͡sʼ ɔ n s
მომჭირნე	m ɔ m t͡ʃʼ i r n ɛ
მომჭირნეობა	m ɔ m t͡ʃʼ i r n ɛ ɔ b ɑ
მომხიბვლელი	m ɔ m x i b v l ɛ l i
მომხიბლავი	m ɔ m x i b l ɑ v i
მომხიბლაობა	m ɔ m x i b l ɑ ɔ b ɑ
მომხმარებელი	m ɔ m x m ɑ r ɛ b ɛ l i
მონა	m ɔ n ɑ
მონადირე	m ɔ n ɑ d i r ɛ
მონაზონი	m ɔ n ɑ z ɔ n i
მონათესავე	m ɔ n ɑ tʰ ɛ s ɑ v ɛ
მონათმფლობელობა	m ɔ n ɑ tʰ m pʰ l ɔ b ɛ l ɔ b ɑ
მონაკო	m ɔ n ɑ kʼ ɔ
მონანიებით	m ɔ n ɑ n i ɛ b i tʰ
მონარქი	m ɔ n ɑ r kʰ i
მონარქია	m ɔ n ɑ r kʰ i ɑ
მონასტრული	m ɔ n ɑ s tʼ r u l i
მონაცვლეობა	m ɔ n ɑ t͡s v l ɛ ɔ b ɑ
მონოგამია	m ɔ n ɔ ɡ ɑ m i ɑ
მონოგრაფია	m ɔ n ɔ ɡ r ɑ pʰ i ɑ
მონოლითური	m ɔ n ɔ l i tʰ u r i
მონოპოლისტი	m ɔ n ɔ pʼ ɔ l i s tʼ i
მონოტონური	m ɔ n ɔ tʼ ɔ n u r i
მონოტონურობა	m ɔ n ɔ tʼ ɔ n u r ɔ b ɑ
მონტაჟი	m ɔ n tʼ ɑ ʒ i
მონუმენტი	m ɔ n u m ɛ n tʼ i
მონუმენტური	m ɔ n u m ɛ n tʼ u r i
მონურად	m ɔ n u r ɑ d
მონური	m ɔ n u r i
მონღოლეთი	m ɔ n ɣ ɔ l ɛ tʰ i
მონღოლი	m ɔ n ɣ ɔ l i
მორალი	m ɔ r ɑ l i
მორალისტური	m ɔ r ɑ l i s tʼ u r i
მორალურად	m ɔ r ɑ l u r ɑ d
მორატორიუმი	m ɔ r ɑ tʼ ɔ r i u m i
მორგი	m ɔ r ɡ i
მორი	m ɔ r i
მორიდებულად	m ɔ r i d ɛ b u l ɑ d
მორიელი	m ɔ r i ɛ l i
მორისი	m ɔ r i s i
მორმონები	m ɔ r m ɔ n ɛ b i
მორჩილად	m ɔ r t͡ʃ i l ɑ d
მორჩილობა	m ɔ r t͡ʃ i l ɔ b ɑ
მორცხვად	m ɔ r t͡s x v ɑ d
მორწმუნე	m ɔ r t͡sʼ m u n ɛ
მოსავალი	m ɔ s ɑ v ɑ l i
მოსამართლე	m ɔ s ɑ m ɑ r tʰ l ɛ
მოსაწყენად	m ɔ s ɑ t͡sʼ qʼ ɛ n ɑ d
მოსახლეობამ	m ɔ s ɑ x l ɛ ɔ b ɑ m
მოსახლეობით	m ɔ s ɑ x l ɛ ɔ b i tʰ
მოსკოვი	m ɔ s kʼ ɔ v i
მოსკოვით	m ɔ s kʼ ɔ v i tʰ
მოსკოვის	m ɔ s kʼ ɔ v i s
მოსკოვმა	m ɔ s kʼ ɔ v m ɑ
მოსპობს	m ɔ s pʼ ɔ b s
მოსწავლე	m ɔ s t͡sʼ ɑ v l ɛ
მოსწონს	m ɔ s t͡sʼ ɔ n s
მოტეხილობა	m ɔ tʼ ɛ x i l ɔ b ɑ
მოტივაცია	m ɔ tʼ i v ɑ t͡s i ɑ
მოტივი	m ɔ tʼ i v i
მოტოციკლი	m ɔ tʼ ɔ t͡s i kʼ l i
მოტყუებით	m ɔ tʼ qʼ u ɛ b i tʰ
მოუთმენლად	m ɔ u tʰ m ɛ n l ɑ d
მოულოდნელობა	m ɔ u l ɔ d n ɛ l ɔ b ɑ
მოურიდებლად	m ɔ u r i d ɛ b l ɑ d
მოურიდებლობა	m ɔ u r i d ɛ b l ɔ b ɑ
მოუსვენრად	m ɔ u s v ɛ n r ɑ d
მოუსვენრობა	m ɔ u s v ɛ n r ɔ b ɑ
მოუქნელად	m ɔ u kʰ n ɛ l ɑ d
მოქალაქე	m ɔ kʰ ɑ l ɑ kʰ ɛ
მოქანდაკე	m ɔ kʰ ɑ n d ɑ kʼ ɛ
მოქმედება	m ɔ kʰ m ɛ d ɛ b ɑ
მოქმედებითი	m ɔ kʰ m ɛ d ɛ b i tʰ i
მოქმედი	m ɔ kʰ m ɛ d i
მოქნილად	m ɔ kʰ n i l ɑ d
მოქნილი	m ɔ kʰ n i l i
მოქნილობა	m ɔ kʰ n i l ɔ b ɑ
მოქცევა	m ɔ kʰ t͡s ɛ v ɑ
მოღალატეობა	m ɔ ɣ ɑ l ɑ tʼ ɛ ɔ b ɑ
მოღვაწე	m ɔ ɣ v ɑ t͡sʼ ɛ
მოღვაწეობა	m ɔ ɣ v ɑ t͡sʼ ɛ ɔ b ɑ
მოღუშულად	m ɔ ɣ u ʃ u l ɑ d
მოღუშული	m ɔ ɣ u ʃ u l i
მოყავისფრო	m ɔ qʼ ɑ v i s pʰ r ɔ
მოყვარე	m ɔ qʼ v ɑ r ɛ
მოყვარული	m ɔ qʼ v ɑ r u l i
მოყვითალო	m ɔ qʼ v i tʰ ɑ l ɔ
მოშლა	m ɔ ʃ l ɑ
მოშლის	m ɔ ʃ l i s
მოშორებით	m ɔ ʃ ɔ r ɛ b i tʰ
მოციგურავე	m ɔ t͡s i ɡ u r ɑ v ɛ
მოციმციმე	m ɔ t͡s i m t͡s i m ɛ
მოციქული	m ɔ t͡s i kʰ u l i
მოცულობა	m ɔ t͡s u l ɔ b ɑ
მოცურავე	m ɔ t͡s u r ɑ v ɛ
მოძველო	m ɔ d͡z v ɛ l ɔ
მოძღვარი	m ɔ d͡z ɣ v ɑ r i
მოძღვრები	m ɔ d͡z ɣ v r ɛ b i
მოწამე	m ɔ t͡sʼ ɑ m ɛ
მოწაფე	m ɔ t͡sʼ ɑ pʰ ɛ
მოწინავე	m ɔ t͡sʼ i n ɑ v ɛ
მოწიწება	m ɔ t͡sʼ i t͡sʼ ɛ b ɑ
მოწიწებით	m ɔ t͡sʼ i t͡sʼ ɛ b i tʰ
მოწმე	m ɔ t͡sʼ m ɛ
მოწმობა	m ɔ t͡sʼ m ɔ b ɑ
მოწოდება	m ɔ t͡sʼ ɔ d ɛ b ɑ
მოწონებით	m ɔ t͡sʼ ɔ n ɛ b i tʰ
მოწყალება	m ɔ t͡sʼ qʼ ɑ l ɛ b ɑ
მოწყენილობა	m ɔ t͡sʼ qʼ ɛ n i l ɔ b ɑ
მოწყობილობა	m ɔ t͡sʼ qʼ ɔ b i l ɔ b ɑ
მოჭიდავე	m ɔ t͡ʃʼ i d ɑ v ɛ
მოჭრის	m ɔ t͡ʃʼ r i s
მოხარშვა	m ɔ x ɑ r ʃ v ɑ
მოხდა	m ɔ x d ɑ
მოხელე	m ɔ x ɛ l ɛ
მოხერხებულად	m ɔ x ɛ r x ɛ b u l ɑ d
მოხერხებული	m ɔ x ɛ r x ɛ b u l i
მოხრილობა	m ɔ x r i l ɔ b ɑ
მოხსენება	m ɔ x s ɛ n ɛ b ɑ
მჟავური	m ʒ ɑ v u r i
მჟაუნა	m ʒ ɑ u n ɑ
მრავალგვარი	m r ɑ v ɑ l ɡ v ɑ r i
მრავალმნიშვნელოვნად	m r ɑ v ɑ l m n i ʃ v n ɛ l ɔ v n ɑ d
მრავალმხრივი	m r ɑ v ɑ l m x r i v i
მრავალხმიანი	m r ɑ v ɑ l x m i ɑ n i
მრავალჯერადი	m r ɑ v ɑ l d͡ʒ ɛ r ɑ d i
მრავლობითი	m r ɑ v l ɔ b i tʰ i
მრგვალი	m r ɡ v ɑ l i
მრეწველობა	m r ɛ t͡sʼ v ɛ l ɔ b ɑ
მრიცხველი	m r i t͡s x v ɛ l i
მრუდე	m r u d ɛ
მრუშობა	m r u ʃ ɔ b ɑ
მსახიობი	m s ɑ x i ɔ b i
მსახური	m s ɑ x u r i
მსაჯი	m s ɑ d͡ʒ i
მსგავსად	m s ɡ ɑ v s ɑ d
მსგავსება	m s ɡ ɑ v s ɛ b ɑ
მსგავსი	m s ɡ ɑ v s i
მსოფლიომ	m s ɔ pʰ l i ɔ m
მსოფლიოს	m s ɔ pʰ l i ɔ s
მსროლელი	m s r ɔ l ɛ l i
მსუბუქად	m s u b u kʰ ɑ d
მსუბუქი	m s u b u kʰ i
მსუქანი	m s u kʰ ɑ n i
მსუყე	m s u qʼ ɛ
მსხალი	m s x ɑ l i
მსხვერპლი	m s x v ɛ r pʼ l i
მსხვილი	m s x v i l i
მსჯელობა	m s d͡ʒ ɛ l ɔ b ɑ
მტევანი	m tʼ ɛ v ɑ n i
მტერი	m tʼ ɛ r i
მტვერსასრუტი	m tʼ v ɛ r s ɑ s r u tʼ i
მტვრიანი	m tʼ v r i ɑ n i
მტირალა	m tʼ i r ɑ l ɑ
მტკაველი	m tʼ kʼ ɑ v ɛ l i
მტკივნეული	m tʼ kʼ i v n ɛ u l i
მტკიცე	m tʼ kʼ i t͡s ɛ
მტკიცებითი	m tʼ kʼ i t͡s ɛ b i tʰ i
მტკიცედ	m tʼ kʼ i t͡s ɛ d
მტრობა	m tʼ r ɔ b ɑ
მტრულად	m tʼ r u l ɑ d
მტრული	m tʼ r u l i
მტყუანი	m tʼ qʼ u ɑ n i
მუდამ	m u d ɑ m
მუდარა	m u d ɑ r ɑ
მუდმივა	m u d m i v ɑ
მუდმივად	m u d m i v ɑ d
მუდმივი	m u d m i v i
მუზა	m u z ɑ
მუზეუმი	m u z ɛ u m i
მუთაქა	m u tʰ ɑ kʰ ɑ
მუნიციპალიტეტად	m u n i t͡s i pʼ ɑ l i tʼ ɛ tʼ ɑ d
მუნიციპალიტეტი	m u n i t͡s i pʼ ɑ l i tʼ ɛ tʼ i
მუნიციპალიტეტით	m u n i t͡s i pʼ ɑ l i tʼ ɛ tʼ i tʰ
მუნიციპალიტეტის	m u n i t͡s i pʼ ɑ l i tʼ ɛ tʼ i s
მუნიციპალიტეტმა	m u n i t͡s i pʼ ɑ l i tʼ ɛ tʼ m ɑ
მუნიციპალიტეტს	m u n i t͡s i pʼ ɑ l i tʼ ɛ tʼ s
მუნიციპალური	m u n i t͡s i pʼ ɑ l u r i
მუნჯი	m u n d͡ʒ i
მურაბა	m u r ɑ b ɑ
მური	m u r i
მუსიკა	m u s i kʼ ɑ
მუსიკალურად	m u s i kʼ ɑ l u r ɑ d
მუსიკამ	m u s i kʼ ɑ m
მუსიკას	m u s i kʼ ɑ s
მუსიკით	m u s i kʼ i tʰ
მუსიკოსი	m u s i kʼ ɔ s i
მუსლიმი	m u s l i m i
მუსონი	m u s ɔ n i
მუსტანგი	m u s tʼ ɑ n ɡ i
მუსულმანი	m u s u l m ɑ n i
მუტრუკი	m u tʼ r u kʼ i
მუქი	m u kʰ i
მუღამი	m u ɣ ɑ m i
მუყაითი	m u qʼ ɑ i tʰ i
მუშა	m u ʃ ɑ
მუშაობა	m u ʃ ɑ ɔ b ɑ
მუშაობს	m u ʃ ɑ ɔ b s
მუცელი	m u t͡s ɛ l i
მუხა	m u x ɑ
მუხანათურად	m u x ɑ n ɑ tʰ u r ɑ d
მუხანათური	m u x ɑ n ɑ tʰ u r i
მუხლი	m u x l i
მუხრუჭი	m u x r u t͡ʃʼ i
მუხუდო	m u x u d ɔ
მუჰამედი	m u h ɑ m ɛ d i
მუჰაჯირობა	m u h ɑ d͡ʒ i r ɔ b ɑ
მფარველობა	m pʰ ɑ r v ɛ l ɔ b ɑ
მფლანგველობა	m pʰ l ɑ n ɡ v ɛ l ɔ b ɑ
მფლობელობა	m pʰ l ɔ b ɛ l ɔ b ɑ
მფრინველი	m pʰ r i n v ɛ l i
მქონდა	m kʰ ɔ n d ɑ
მქრქალი	m kʰ r kʰ ɑ l i
მღერის	m ɣ ɛ r i s
მღვიმე	m ɣ v i m ɛ
მღვრიე	m ɣ v r i ɛ
მყარი	m qʼ ɑ r i
მყვირალა	m qʼ v i r ɑ l ɑ
მყინვარი	m qʼ i n v ɑ r i
მყისიერი	m qʼ i s i ɛ r i
მყიფე	m qʼ i pʰ ɛ
მყოფი	m qʼ ɔ pʰ i
მყრალი	m qʼ r ɑ l i
მყუდრო	m qʼ u d r ɔ
მყუდროდ	m qʼ u d r ɔ d
მყუდროება	m qʼ u d r ɔ ɛ b ɑ
მშენებლობა	m ʃ ɛ n ɛ b l ɔ b ɑ
მშვენება	m ʃ v ɛ n ɛ b ɑ
მშვენიერი	m ʃ v ɛ n i ɛ r i
მშვენივრად	m ʃ v ɛ n i v r ɑ d
მშვიდად	m ʃ v i d ɑ d
მშვიდი	m ʃ v i d i
მშვიდობიანად	m ʃ v i d ɔ b i ɑ n ɑ d
მშვიდობიანი	m ʃ v i d ɔ b i ɑ n i
მშვილდი	m ʃ v i l d i
მშვილდოსნობა	m ʃ v i l d ɔ s n ɔ b ɑ
მშია	m ʃ i ɑ
მშიერი	m ʃ i ɛ r i
მშიშარა	m ʃ i ʃ ɑ r ɑ
მშობელი	m ʃ ɔ b ɛ l i
მშობიარობა	m ʃ ɔ b i ɑ r ɔ b ɑ
მშობლიური	m ʃ ɔ b l i u r i
მშრალი	m ʃ r ɑ l i
მჩატე	m t͡ʃ ɑ tʼ ɛ
მჩქეფარე	m t͡ʃ kʰ ɛ pʰ ɑ r ɛ
მცდარად	m t͡s d ɑ r ɑ d
მცდარი	m t͡s d ɑ r i
მცდელობა	m t͡s d ɛ l ɔ b ɑ
მცენარეული	m t͡s ɛ n ɑ r ɛ u l i
მცველი	m t͡s v ɛ l i
მცირე	m t͡s i r ɛ
მცნება	m t͡s n ɛ b ɑ
მცოდნე	m t͡s ɔ d n ɛ
მცურავი	m t͡s u r ɑ v i
მცხეთა	m t͡s x ɛ tʰ ɑ
მცხუნვარედ	m t͡s x u n v ɑ r ɛ d
მძარცველი	m d͡z ɑ r t͡s v ɛ l i
მძაფრი	m d͡z ɑ pʰ r i
მძევალი	m d͡z ɛ v ɑ l i
მძიმე	m d͡z i m ɛ
მძღნერი	m d͡z ɣ n ɛ r i
მძღოლი	m d͡z ɣ ɔ l i
მწარედ	m t͡sʼ ɑ r ɛ d
მწერალი	m t͡sʼ ɛ r ɑ l i
მწერი	m t͡sʼ ɛ r i
მწვადი	m t͡sʼ v ɑ d i
მწვავე	m t͡sʼ v ɑ v ɛ
მწვავედ	m t͡sʼ v ɑ v ɛ d
მწვანე	m t͡sʼ v ɑ n ɛ
მწვრთნელი	m t͡sʼ v r tʰ n ɛ l i
მწიკვი	m t͡sʼ i kʼ v i
მწირი	m t͡sʼ i r i
მწიფე	m t͡sʼ i pʰ ɛ
მწკრივი	m t͡sʼ kʼ r i v i
მწნილი	m t͡sʼ n i l i
მწუხარება	m t͡sʼ u x ɑ r ɛ b ɑ
მწყემსი	m t͡sʼ qʼ ɛ m s i
მწყერი	m t͡sʼ qʼ ɛ r i
მწყინს	m t͡sʼ qʼ i n s
მჭადი	m t͡ʃʼ ɑ d i
მჭედლიშვილი	m t͡ʃʼ ɛ d l i ʃ v i l i
მჭევრმეტყველურად	m t͡ʃʼ ɛ v r m ɛ tʼ qʼ v ɛ l u r ɑ d
მჭიდრო	m t͡ʃʼ i d r ɔ
მჭიდროდ	m t͡ʃʼ i d r ɔ d
მჭლე	m t͡ʃʼ l ɛ
მჭრელი	m t͡ʃʼ r ɛ l i
მხარბეჭიანი	m x ɑ r b ɛ t͡ʃʼ i ɑ n i
მხარდაჭერა	m x ɑ r d ɑ t͡ʃʼ ɛ r ɑ
მხარე	m x ɑ r ɛ
მხარედ	m x ɑ r ɛ d
მხარით	m x ɑ r i tʰ
მხარის	m x ɑ r i s
მხატვარი	m x ɑ tʼ v ɑ r i
მხატვრული	m x ɑ tʼ v r u l i
მხდალი	m x d ɑ l i
მხედარი	m x ɛ d ɑ r i
მხედველობა	m x ɛ d v ɛ l ɔ b ɑ
მხედრული	m x ɛ d r u l i
მხეცი	m x ɛ t͡s i
მხეცურად	m x ɛ t͡s u r ɑ d
მხეცური	m x ɛ t͡s u r i
მხიარულად	m x i ɑ r u l ɑ d
მხიარული	m x i ɑ r u l i
მხნე	m x n ɛ
მხურვალედ	m x u r v ɑ l ɛ d
მხცოვანი	m x t͡s ɔ v ɑ n i
მჯდომარე	m d͡ʒ d ɔ m ɑ r ɛ
ნაბიჭვარი	n ɑ b i t͡ʃʼ v ɑ r i
ნაბოზარი	n ɑ b ɔ z ɑ r i
ნაგავი	n ɑ ɡ ɑ v i
ნაგაზი	n ɑ ɡ ɑ z i
ნაგებობა	n ɑ ɡ ɛ b ɔ b ɑ
ნაგულისხმევი	n ɑ ɡ u l i s x m ɛ v i
ნადავლი	n ɑ d ɑ v l i
ნადიმი	n ɑ d i m i
ნადირი	n ɑ d i r i
ნადირობა	n ɑ d i r ɔ b ɑ
ნაერთი	n ɑ ɛ r tʰ i
ნავთობი	n ɑ v tʰ ɔ b i
ნავი	n ɑ v i
ნავიგაცია	n ɑ v i ɡ ɑ t͡s i ɑ
ნავსადგური	n ɑ v s ɑ d ɡ u r i
ნავსადგურის	n ɑ v s ɑ d ɡ u r i s
ნავსადგურმა	n ɑ v s ɑ d ɡ u r m ɑ
ნავსადგურს	n ɑ v s ɑ d ɡ u r s
ნათება	n ɑ tʰ ɛ b ɑ
ნათელა	n ɑ tʰ ɛ l ɑ
ნათელაშვილი	n ɑ tʰ ɛ l ɑ ʃ v i l i
ნათელი	n ɑ tʰ ɛ l i
ნათესავი	n ɑ tʰ ɛ s ɑ v i
ნათესაობა	n ɑ tʰ ɛ s ɑ ɔ b ɑ
ნათია	n ɑ tʰ i ɑ
ნათლად	n ɑ tʰ l ɑ d
ნათლია	n ɑ tʰ l i ɑ
ნათლობა	n ɑ tʰ l ɔ b ɑ
ნათურა	n ɑ tʰ u r ɑ
ნაირა	n ɑ i r ɑ
ნაირსახეობა	n ɑ i r s ɑ x ɛ ɔ b ɑ
ნაკადი	n ɑ kʼ ɑ d i
ნაკელი	n ɑ kʼ ɛ l i
ნაკერი	n ɑ kʼ ɛ r i
ნაკვალევი	n ɑ kʼ v ɑ l ɛ v i
ნაკვთი	n ɑ kʼ v tʰ i
ნაკლებად	n ɑ kʼ l ɛ b ɑ d
ნაკლები	n ɑ kʼ l ɛ b i
ნაკლებობა	n ɑ kʼ l ɛ b ɔ b ɑ
ნაკლი	n ɑ kʼ l i
ნაკრები	n ɑ kʼ r ɛ b i
ნაკურთხი	n ɑ kʼ u r tʰ x i
ნალი	n ɑ l i
ნამგალი	n ɑ m ɡ ɑ l i
ნამიბია	n ɑ m i b i ɑ
ნამორაძე	n ɑ m ɔ r ɑ d͡z ɛ
ნამცეცი	n ɑ m t͡s ɛ t͡s i
ნამცხვარი	n ɑ m t͡s x v ɑ r i
ნანახი	n ɑ n ɑ x i
ნანგრევი	n ɑ n ɡ r ɛ v i
ნაპალმი	n ɑ pʼ ɑ l m i
ნაპერწკალი	n ɑ pʼ ɛ r t͡sʼ kʼ ɑ l i
ნაპირზე	n ɑ pʼ i r z ɛ
ნაპირთან	n ɑ pʼ i r tʰ ɑ n
ნაპირი	n ɑ pʼ i r i
ნაპრალი	n ɑ pʼ r ɑ l i
ნარდი	n ɑ r d i
ნართი	n ɑ r tʰ i
ნარინჯისფერი	n ɑ r i n d͡ʒ i s pʰ ɛ r i
ნარშავი	n ɑ r ʃ ɑ v i
ნარჩენი	n ɑ r t͡ʃ ɛ n i
ნასვამი	n ɑ s v ɑ m i
ნატეხი	n ɑ tʼ ɛ x i
ნატრიუმი	n ɑ tʼ r i u m i
ნატურმორტი	n ɑ tʼ u r m ɔ r tʼ i
ნაურუ	n ɑ u r u
ნაფეხური	n ɑ pʰ ɛ x u r i
ნაქალაქარი	n ɑ kʰ ɑ l ɑ kʰ ɑ r i
ნაქარგი	n ɑ kʰ ɑ r ɡ i
ნაღდად	n ɑ ɣ d ɑ d
ნაღდი	n ɑ ɣ d i
ნაღები	n ɑ ɣ ɛ b i
ნაღველი	n ɑ ɣ v ɛ l i
ნაღმი	n ɑ ɣ m i
ნაყალბევი	n ɑ qʼ ɑ l b ɛ v i
ნაყინი	n ɑ qʼ i n i
ნაყოფიერად	n ɑ qʼ ɔ pʰ i ɛ r ɑ d
ნაყოფიერება	n ɑ qʼ ɔ pʰ i ɛ r ɛ b ɑ
ნაყოფიერი	n ɑ qʼ ɔ pʰ i ɛ r i
ნაშთი	n ɑ ʃ tʰ i
ნაშუადღევს	n ɑ ʃ u ɑ d ɣ ɛ v s
ნაჩქარევი	n ɑ t͡ʃ kʰ ɑ r ɛ v i
ნაცარი	n ɑ t͡s ɑ r i
ნაცვლად	n ɑ t͡s v l ɑ d
ნაციზმი	n ɑ t͡s i z m i
ნაციონალი	n ɑ t͡s i ɔ n ɑ l i
ნაციონალურად	n ɑ t͡s i ɔ n ɑ l u r ɑ d
ნაცისტი	n ɑ t͡s i s tʼ i
ნაცისტური	n ɑ t͡s i s tʼ u r i
ნაცნობი	n ɑ t͡s n ɔ b i
ნაცნობობა	n ɑ t͡s n ɔ b ɔ b ɑ
ნაცრისფერი	n ɑ t͡s r i s pʰ ɛ r i
ნაძვი	n ɑ d͡z v i
ნაძირალა	n ɑ d͡z i r ɑ l ɑ
ნაწარმოები	n ɑ t͡sʼ ɑ r m ɔ ɛ b i
ნაწიბური	n ɑ t͡sʼ i b u r i
ნაწილაკი	n ɑ t͡sʼ i l ɑ kʼ i
ნაწილი	n ɑ t͡sʼ i l i
ნაწილობრივი	n ɑ t͡sʼ i l ɔ b r i v i
ნაწლავი	n ɑ t͡sʼ l ɑ v i
ნაჭრილობევი	n ɑ t͡ʃʼ r i l ɔ b ɛ v i
ნაჭუჭი	n ɑ t͡ʃʼ u t͡ʃʼ i
ნახავს	n ɑ x ɑ v s
ნახატი	n ɑ x ɑ tʼ i
ნახევარგზაზე	n ɑ x ɛ v ɑ r ɡ z ɑ z ɛ
ნახევარკუნძული	n ɑ x ɛ v ɑ r kʼ u n d͡z u l i
ნახევარსფერო	n ɑ x ɛ v ɑ r s pʰ ɛ r ɔ
ნახევარძმა	n ɑ x ɛ v ɑ r d͡z m ɑ
ნახევრად	n ɑ x ɛ v r ɑ d
ნახერხი	n ɑ x ɛ r x i
ნახველი	n ɑ x v ɛ l i
ნახვრეტი	n ɑ x v r ɛ tʼ i
ნახირი	n ɑ x i r i
ნახტომი	n ɑ x tʼ ɔ m i
ნახულობს	n ɑ x u l ɔ b s
ნახშირორჟანგი	n ɑ x ʃ i r ɔ r ʒ ɑ n ɡ i
ნაჯახი	n ɑ d͡ʒ ɑ x i
ნგრევა	n ɡ r ɛ v ɑ
ნდობა	n d ɔ b ɑ
ნდობით	n d ɔ b i tʰ
ნება	n ɛ b ɑ
ნებავს	n ɛ b ɑ v s
ნებაყოფლობით	n ɛ b ɑ qʼ ɔ pʰ l ɔ b i tʰ
ნებაყოფლობითი	n ɛ b ɑ qʼ ɔ pʰ l ɔ b i tʰ i
ნებიერი	n ɛ b i ɛ r i
ნებისმიერი	n ɛ b i s m i ɛ r i
ნებისყოფა	n ɛ b i s qʼ ɔ pʰ ɑ
ნედლი	n ɛ d l i
ნეიტრალური	n ɛ i tʼ r ɑ l u r i
ნელა	n ɛ l ɑ
ნელად	n ɛ l ɑ d
ნელი	n ɛ l i
ნელსონი	n ɛ l s ɔ n i
ნემსიწვერა	n ɛ m s i t͡sʼ v ɛ r ɑ
ნეოლოგიზმი	n ɛ ɔ l ɔ ɡ i z m i
ნეპალი	n ɛ pʼ ɑ l i
ნეპოტიზმი	n ɛ pʼ ɔ tʼ i z m i
ნეპტუნი	n ɛ pʼ tʼ u n i
ნერვი	n ɛ r v i
ნერვიული	n ɛ r v i u l i
ნერვიულობა	n ɛ r v i u l ɔ b ɑ
ნესვი	n ɛ s v i
ნესტიანი	n ɛ s tʼ i ɑ n i
ნესტორი	n ɛ s tʼ ɔ r i
ნეტავ	n ɛ tʼ ɑ v
ნეტავი	n ɛ tʼ ɑ v i
ნეტარი	n ɛ tʼ ɑ r i
ნიადაგ	n i ɑ d ɑ ɡ
ნიადაგი	n i ɑ d ɑ ɡ i
ნიახური	n i ɑ x u r i
ნიგერია	n i ɡ ɛ r i ɑ
ნიგვზიანი	n i ɡ v z i ɑ n i
ნიგოზი	n i ɡ ɔ z i
ნიდერლანდები	n i d ɛ r l ɑ n d ɛ b i
ნივთიერება	n i v tʰ i ɛ r ɛ b ɑ
ნიკარაგუა	n i kʼ ɑ r ɑ ɡ u ɑ
ნიკოლაიშვილი	n i kʼ ɔ l ɑ i ʃ v i l i
ნიკოტინი	n i kʼ ɔ tʼ i n i
ნიკოფსია	n i kʼ ɔ pʰ s i ɑ
ნიმუში	n i m u ʃ i
ნიორი	n i ɔ r i
ნისლი	n i s l i
ნიღაბი	n i ɣ ɑ b i
ნიშა	n i ʃ ɑ
ნიშანი	n i ʃ ɑ n i
