abba	ɒ bː ɒ
különböző	k y l ø m b ø z øː
különféle	k y l ø ɱ f eː l ɛ
küszöbe	k y s ø b ɛ
küzdelem	k y z d ɛ l ɛ m
küzdelemben	k y z d ɛ l ɛ m b ɛ n
kő	k øː
labda	l ɒ b d ɒ
labdarúgás	l ɒ b d ɒ r uː ɡ aː ʃ
labdarúgó	l ɒ b d ɒ r uː ɡ oː
laboratórium	l ɒ b o r ɒ t oː r i j u m
laboratóriumi	l ɒ b o r ɒ t oː r i j u m i
lagymatag	l ɒ ɟ m ɒ t ɒ ɡ
laikusok	l ɒ j i k u ʃ o k
lajos	l ɒ j o ʃ
lakos	l ɒ k o ʃ
lakosság	l ɒ k o ʃː aː ɡ
lakossági	l ɒ k o ʃː aː ɡ i
lakosságot	l ɒ k o ʃː aː ɡ o t
lakosságának	l ɒ k o ʃː aː ɡ aː n ɒ k
lakói	l ɒ k oː j i
lakóinak	l ɒ k oː j i n ɒ k
lakók	l ɒ k oː k
lap	l ɒ p
lapban	l ɒ bː ɒ n
lapnak	l ɒ p n ɒ k
lapok	l ɒ p o k
lapokat	l ɒ p o k ɒ t
lapon	l ɒ p o n
lapot	l ɒ p o t
lappal	l ɒ pː ɒ l
laptop	l ɛ p t o p
lassabban	l ɒ ʃː ɒ bː ɒ n
lassan	l ɒ ʃː ɒ n
lassú	l ɒ ʃː uː
latin	l ɒ t i n
lefelé	l ɛ f ɛ l eː
legalkalmasabb	l ɛ ɡ ɒ l k ɒ l m ɒ ʃ ɒ bː
legalább	l ɛ ɡ ɒ l aː bː
legalábbis	l ɛ ɡ ɒ l aː bː i ʃ
legbensőségesebb	l ɛ ɡ b ɛ n ʃ øː ʃ eː ɡ ɛ ʃ ɛ bː
legbüszkébb	l ɛ ɡ b y s k eː bː
legdinamikusabb	l ɛ ɡ d i n ɒ m i k u ʃ ɒ bː
legdrágább	l ɛ ɡ d r aː ɡ aː bː
legegyszerűbben	l ɛ ɡ ɛ c s ɛ r yː bː ɛ n
legelemibb	l ɛ ɡ ɛ l ɛ m i bː
legelőkelőbb	l ɛ ɡ ɛ l øː k ɛ l øː bː
legendás	l ɛ ɡ ɛ n d aː ʃ
legendásan	l ɛ ɡ ɛ n d aː ʃ ɒ n
legeredményesebb	l ɛ ɡ ɛ r ɛ d m eː ɲ ɛ ʃ ɛ bː
legesélyesebb	l ɛ ɡ ɛ ʃ eː j ɛ ʃ ɛ bː
legfeljebb	l ɛ k f ɛ jː ɛ bː
legfelső	l ɛ k f ɛ l ʃ øː
legfelsőbb	l ɛ k f ɛ l ʃ øː bː
legfinomabb	l ɛ k f i n o m ɒ bː
legfontosabb	l ɛ k f o n t o ʃ ɒ bː
legfrissebb	l ɛ k f r i ʃː ɛ bː
legfürgébb	l ɛ k f y r ɡ eː bː
legfőbb	l ɛ k f øː bː
leggazdagabb	l ɛ ɡː ɒ z d ɒ ɡ ɒ bː
leggondosabb	l ɛ ɡː o n d o ʃ ɒ bː
leggyakrabban	l ɛ ɡ ɟ ɒ k r ɒ bː ɒ n
leggyönyörűbb	l ɛ ɡ ɟ ø ɲ ø r yː bː
leghidegebb	l ɛ k h i d ɛ ɡ ɛ bː
leghosszabb	l ɛ k h o sː ɒ bː
leginkább	l ɛ ɡ i ŋ k aː bː
legismertebb	l ɛ ɡ i ʃ m ɛ r t ɛ bː
legizgalmasabb	l ɛ ɡ i z ɡ ɒ l m ɒ ʃ ɒ bː
legjellemzőbb	l ɛ ɡ j ɛ lː ɛ m z øː bː
legjobb	l ɛ ɡ j o bː
legjobbak	l ɛ ɡ j o bː ɒ k
legjobban	l ɛ ɡ j o bː ɒ n
legjobbnak	l ɛ ɡ j o b n ɒ k
legkevesebb	l ɛ kː ɛ v ɛ ʃ ɛ bː
legkiegyensúlyozottabb	l ɛ kː i j ɛ ɟ ɛ n ʃ uː j o z o tː ɒ bː
legkiemeltebb	l ɛ kː i j ɛ m ɛ l t ɛ bː
legkisebb	l ɛ kː i ʃː ɛ bː
legkésőbb	l ɛ kː eː ʃ øː bː
legkönnyebb	l ɛ kː ø ɲː ɛ bː
legközelebb	l ɛ kː ø z ɛ l ɛ bː
legközelebbi	l ɛ kː ø z ɛ l ɛ bː i
legkülönfélébb	l ɛ kː y l ø ɱ f eː l eː bː
legkülönösebb	l ɛ kː y l ø n ø ʃ ɛ bː
legmélyebb	l ɛ ɡ m eː j ɛ bː
legnehezebb	l ɛ ɡ n ɛ h ɛ z ɛ bː
legnépszerűbb	l ɛ ɡ n eː p s ɛ r yː bː
legparányibb	l ɛ k p ɒ r aː ɲ i bː
legragyogóbb	l ɛ ɡ r ɒ ɟ o ɡ oː bː
legritkább	l ɛ ɡ r i t k aː bː
legrosszabb	l ɛ ɡ r o sː ɒ bː
legsikeresebb	l ɛ k ʃ i k ɛ r ɛ ʃ ɛ bː
legszegényebb	l ɛ k s ɛ ɡ eː ɲ ɛ bː
legsúlyosabb	l ɛ k ʃ uː j o ʃ ɒ bː
legtöbb	l ɛ k t ø bː
legtöbben	l ɛ k t ø bː ɛ n
legtöbbször	l ɛ k t ø p s ø r
legutolsó	l ɛ ɡ u t o l ʃ oː
legutóbb	l ɛ ɡ u t oː bː
legutóbbi	l ɛ ɡ u t oː bː i
legyek	l ɛ ɟ ɛ k
legyen	l ɛ ɟ ɛ n
legyenek	l ɛ ɟ ɛ n ɛ k
legújabb	l ɛ ɡ uː j ɒ bː
lehessen	l ɛ h ɛ ʃː ɛ n
lehet	l ɛ h ɛ t
lehetek	l ɛ h ɛ t ɛ k
lehetetlen	l ɛ h ɛ t ɛ t l ɛ n
lehetetlenné	l ɛ h ɛ t ɛ t l ɛ nː eː
lehetett	l ɛ h ɛ t ɛ tː
lehetnek	l ɛ h ɛ t n ɛ k
lehetnék	l ɛ h ɛ t n eː k
lehetséges	l ɛ h ɛ t͡ʃː eː ɡ ɛ ʃ
lehetünk	l ɛ h ɛ t y ŋ k
lehető	l ɛ h ɛ t øː
lehetőség	l ɛ h ɛ t øː ʃ eː ɡ
lehetősége	l ɛ h ɛ t øː ʃ eː ɡ ɛ
lehetőségeinek	l ɛ h ɛ t øː ʃ eː ɡ ɛ j i n ɛ k
lehetőségek	l ɛ h ɛ t øː ʃ eː ɡ ɛ k
lehetőségeket	l ɛ h ɛ t øː ʃ eː ɡ ɛ k ɛ t
lehetőséget	l ɛ h ɛ t øː ʃ eː ɡ ɛ t
lehetőségét	l ɛ h ɛ t øː ʃ eː ɡ eː t
lehetővé	l ɛ h ɛ t øː v eː
lej	l ɛ j
lejre	l ɛ j r ɛ
lejt	l ɛ j t
lejár	l ɛ j aː r
lejátszó	l ɛ j aː t͡sː oː
lejért	l ɛ j eː r t
lelke	l ɛ l k ɛ
lelkes	l ɛ l k ɛ ʃ
lelkesen	l ɛ l k ɛ ʃ ɛ n
lelket	l ɛ l k ɛ t
lelki	l ɛ l k i
lelkileg	l ɛ l k i l ɛ ɡ
lelkészek	l ɛ l k eː s ɛ k
lemezen	l ɛ m ɛ z ɛ n
lemondott	l ɛ m o n d o tː
lendület	l ɛ n d y l ɛ t
lengyel	l ɛ ɲ ɟ ɛ l
lengyelországban	l ɛ ɲ ɟ ɛ l o r s aː ɡ b ɒ n
lenne	l ɛ nː ɛ
lenni	l ɛ nː i
lennie	l ɛ nː i j ɛ
lennék	l ɛ nː eː k
lennénk	l ɛ nː eː ŋ k
lent	l ɛ n t
lenyűgöző	l ɛ ɲ yː ɡ ø z øː
lepke	l ɛ p k ɛ
leszálló	l ɛ s aː lː oː
leszámítva	l ɛ s aː m iː t v ɒ
leszünk	l ɛ s y ŋ k
lett	l ɛ tː
lettem	l ɛ tː ɛ m
levegő	l ɛ v ɛ ɡ øː
levegőben	l ɛ v ɛ ɡ øː b ɛ n
levelek	l ɛ v ɛ l ɛ k
leveleket	l ɛ v ɛ l ɛ k ɛ t
levelet	l ɛ v ɛ l ɛ t
levelező	l ɛ v ɛ l ɛ z øː
levelét	l ɛ v ɛ l eː t
levente	l ɛ v ɛ n t ɛ
levesek	l ɛ v ɛ ʃ ɛ k
levél	l ɛ v eː l
levélben	l ɛ v eː l b ɛ n
levő	l ɛ v øː
lezárt	l ɛ z aː r t
leányok	l ɛ aː ɲ o k
leépítés	l ɛ j eː p iː t eː ʃ
leírtam	l ɛ j iː r t ɒ m
leírás	l ɛ j iː r aː ʃ
leírást	l ɛ j iː r aː ʃ t
liberális	l i b ɛ r aː l i ʃ
liga	l i ɡ ɒ
ligában	l i ɡ aː b ɒ n
lila	l i l ɒ
lineáris	l i n ɛ aː r i ʃ
link	l i ŋ k
linkek	l i ŋ k ɛ k
linkekre	l i ŋ k ɛ k r ɛ
linket	l i ŋ k ɛ t
linkre	l i ŋ k r ɛ
listákra	l i ʃ t aː k r ɒ
listára	l i ʃ t aː r ɒ
listát	l i ʃ t aː t
liter	l i t ɛ r
liturgia	l i t u r ɡ i j ɒ
litván	l i t v aː n
litvánia	l i t v aː n i j ɒ
lobog	l o b o ɡ
lobogó	l o b o ɡ oː
logika	l o ɡ i k ɒ
logikus	l o ɡ i k u ʃ
logisztikai	l o ɡ i s t i k ɒ j i
london	l o n d o n
lord	l o r d
lotti	l o tː i
lovas	l o v ɒ ʃ
lyukra	j u k r ɒ
láb	l aː b
lábad	l aː b ɒ d
lábak	l aː b ɒ k
lábam	l aː b ɒ m
lábbeli	l aː bː ɛ l i
lábán	l aː b aː n
lábáról	l aː b aː r oː l
lábát	l aː b aː t
ládák	l aː d aː k
lágy	l aː ɟ
lám	l aː m
láma	l aː m ɒ
lány	l aː ɲ
lánya	l aː ɲ ɒ
lányok	l aː ɲ o k
lányt	l aː ɲ t
lárvák	l aː r v aː k
lásd	l aː ʒ d
láss	l aː ʃː
lássad	l aː ʃː ɒ d
lássam	l aː ʃː ɒ m
lászló	l aː s l oː
lát	l aː t
láthat	l aː t h ɒ t
látható	l aː t h ɒ t oː
láthatóan	l aː t h ɒ t oː ɒ n
látja	l aː cː ɒ
látják	l aː cː aː k
látni	l aː t n i
látnék	l aː t n eː k
látogatták	l aː t o ɡ ɒ tː aː k
látogatás	l aː t o ɡ ɒ t aː ʃ
látogató	l aː t o ɡ ɒ t oː
látogatók	l aː t o ɡ ɒ t oː k
látom	l aː t o m
látott	l aː t o tː
látsz	l aː t͡sː
látszólag	l aː t͡sː oː l ɒ ɡ
láttak	l aː tː ɒ k
láttam	l aː tː ɒ m
láttuk	l aː tː u k
láttunk	l aː tː u ŋ k
látunk	l aː t u ŋ k
látvány	l aː t v aː ɲ
látványos	l aː t v aː ɲ o ʃ
lázad	l aː z ɒ d
lázadó	l aː z ɒ d oː
láztalan	l aː s t ɒ l ɒ n
lécci	l eː t͡sː i
légi	l eː ɡ i
légitársaság	l eː ɡ i t aː r ʃ ɒ ʃ aː ɡ
légköri	l eː kː ø r i
légy	l eː ɟ
légzsák	l eː ɡ ʒ aː k
lélegzik	l eː l ɛ ɡ z i k
lélek	l eː l ɛ k
lélekben	l eː l ɛ ɡ b ɛ n
lélekkel	l eː l ɛ kː ɛ l
lélektani	l eː l ɛ k t ɒ n i
lény	l eː ɲ
lényege	l eː ɲ ɛ ɡ ɛ
lényeges	l eː ɲ ɛ ɡ ɛ ʃ
lényegesen	l eː ɲ ɛ ɡ ɛ ʃ ɛ n
lényegében	l eː ɲ ɛ ɡ eː b ɛ n
lényegét	l eː ɲ ɛ ɡ eː t
lények	l eː ɲ ɛ k
lép	l eː p
lépcsőház	l eː p t͡ʃ øː ɦ aː z
lépcsősor	l eː p t͡ʃ øː ʃ o r
lépni	l eː p n i
léptek	l eː p t ɛ k
léptünk	l eː p t y ŋ k
lépése	l eː p eː ʃ ɛ
lépő	l eː p øː
lét	l eː t
létesítmény	l eː t ɛ ʃ iː t m eː ɲ
létezik	l eː t ɛ z i k
létező	l eː t ɛ z øː
létfontosságú	l eː t f o n t o ʃː aː ɡ uː
létre	l eː t r ɛ
létrejött	l eː t r ɛ j ø tː
létszám	l eː t s aː m
lévén	l eː v eː n
lévő	l eː v øː
lóerős	l oː ɛ r øː ʃ
lőrinc	l øː r i n t͡s
ma	m ɒ
macska	m ɒ t͡ʃ k ɒ
macskabagoly	m ɒ t͡ʃ k ɒ b ɒ ɡ o j
macskák	m ɒ t͡ʃ k aː k
macskákig	m ɒ t͡ʃ k aː k i ɡ
madrid	m ɒ d r i d
mag	m ɒ ɡ
maga	m ɒ ɡ ɒ
magad	m ɒ ɡ ɒ d
magadhoz	m ɒ ɡ ɒ t h o z
magadért	m ɒ ɡ ɒ d eː r t
magam	m ɒ ɡ ɒ m
magamhoz	m ɒ ɡ ɒ m ɦ o z
magammal	m ɒ ɡ ɒ mː ɒ l
magamnak	m ɒ ɡ ɒ m n ɒ k
magamért	m ɒ ɡ ɒ m eː r t
magas	m ɒ ɡ ɒ ʃ
magasak	m ɒ ɡ ɒ ʃ ɒ k
magasra	m ɒ ɡ ɒ ʃ r ɒ
magatartás	m ɒ ɡ ɒ t ɒ r t aː ʃ
magazin	m ɒ ɡ ɒ z i n
magazinunk	m ɒ ɡ ɒ z i n u ŋ k
magda	m ɒ ɡ d ɒ
magdolna	m ɒ ɡ d o l n ɒ
maguk	m ɒ ɡ u k
magukat	m ɒ ɡ u k ɒ t
magukban	m ɒ ɡ u ɡ b ɒ n
magukkal	m ɒ ɡ u kː ɒ l
maguknak	m ɒ ɡ u k n ɒ k
magukra	m ɒ ɡ u k r ɒ
magunkat	m ɒ ɡ u ŋ k ɒ t
magunkhoz	m ɒ ɡ u ŋ k h o z
magunkkal	m ɒ ɡ u ŋ k ɒ l
magunknak	m ɒ ɡ u ŋ k n ɒ k
magyarország	m ɒ ɟ ɒ r o r s aː ɡ
magyarországi	m ɒ ɟ ɒ r o r s aː ɡ i
magyarországnak	m ɒ ɟ ɒ r o r s aː ɡ n ɒ k
magyarországon	m ɒ ɟ ɒ r o r s aː ɡ o n
magyarországot	m ɒ ɟ ɒ r o r s aː ɡ o t
magyarországra	m ɒ ɟ ɒ r o r s aː ɡ r ɒ
magyarországról	m ɒ ɟ ɒ r o r s aː ɡ r oː l
magyaros	m ɒ ɟ ɒ r o ʃ
magyarság	m ɒ ɟ ɒ r ʃ aː ɡ
magyarul	m ɒ ɟ ɒ r u l
magyarázat	m ɒ ɟ ɒ r aː z ɒ t
magyarázata	m ɒ ɟ ɒ r aː z ɒ t ɒ
magyarázatot	m ɒ ɟ ɒ r aː z ɒ t o t
magyarázható	m ɒ ɟ ɒ r aː s h ɒ t oː
magyarázni	m ɒ ɟ ɒ r aː z n i
magyarázza	m ɒ ɟ ɒ r aː zː ɒ
magzatok	m ɒ ɡ z ɒ t o k
magában	m ɒ ɡ aː b ɒ n
magához	m ɒ ɡ aː ɦ o z
magán	m ɒ ɡ aː n
magánszemély	m ɒ ɡ aː n s ɛ m eː j
magányos	m ɒ ɡ aː ɲ o ʃ
magánál	m ɒ ɡ aː n aː l
magára	m ɒ ɡ aː r ɒ
magát	m ɒ ɡ aː t
magától	m ɒ ɡ aː t oː l
magával	m ɒ ɡ aː v ɒ l
mai	m ɒ j i
majd	m ɒ j d
majdani	m ɒ j d ɒ n i
major	m ɒ j o r
makedón	m ɒ k ɛ d oː n
makó	m ɒ k oː
malmai	m ɒ l m ɒ j i
mama	m ɒ m ɒ
manapság	m ɒ n ɒ p ʃ aː ɡ
manchester	m ɛ n t͡ʃ ɛ s t ɛ r
mancsok	m ɒ n t͡ʃ o k
mancson	m ɒ n t͡ʃ o n
manipuláció	m ɒ n i p u l aː t͡s i j oː
manó	m ɒ n oː
maradhat	m ɒ r ɒ t h ɒ t
maradjon	m ɒ r ɒ ɟː o n
maradt	m ɒ r ɒ tː
maradék	m ɒ r ɒ d eː k
maradéktalanul	m ɒ r ɒ d eː k t ɒ l ɒ n u l
margarin	m ɒ r ɡ ɒ r i n
marginális	m ɒ r ɡ i n aː l i ʃ
margit	m ɒ r ɡ i t
mari	m ɒ r i
marihuána	m ɒ r i ɦ u aː n ɒ
mariska	m ɒ r i ʃ k ɒ
maros	m ɒ r o ʃ
mars	m ɒ r ʃ
marsi	m ɒ r ʃ i
masina	m ɒ ʃ i n ɒ
matematika	m ɒ t ɛ m ɒ t i k ɒ
matematikai	m ɒ t ɛ m ɒ t i k ɒ j i
maximálisan	m ɒ k s i m aː l i ʃ ɒ n
meccs	m ɛ t͡ʃː
meccsen	m ɛ t͡ʃː ɛ n
meccset	m ɛ t͡ʃː ɛ t
mechanika	m ɛ ɦ ɒ n i k ɒ
mechanikai	m ɛ ɦ ɒ n i k ɒ j i
medence	m ɛ d ɛ n t͡s ɛ
medgyessy	m ɛ ɟː ɛ ʃ i
medvék	m ɛ d v eː k
meg	m ɛ ɡ
megadja	m ɛ ɡ ɒ ɟː ɒ
megadott	m ɛ ɡ ɒ d o tː
megalakult	m ɛ ɡ ɒ l ɒ k u l t
megalakulás	m ɛ ɡ ɒ l ɒ k u l aː ʃ
megalapozott	m ɛ ɡ ɒ l ɒ p o z o tː
megbeszélés	m ɛ ɡ b ɛ s eː l eː ʃ
megbeszélések	m ɛ ɡ b ɛ s eː l eː ʃ ɛ k
megbeszélést	m ɛ ɡ b ɛ s eː l eː ʃ t
megbetegedés	m ɛ ɡ b ɛ t ɛ ɡ ɛ d eː ʃ
megbetegedések	m ɛ ɡ b ɛ t ɛ ɡ ɛ d eː ʃ ɛ k
megbízhatatlan	m ɛ ɡ b iː s h ɒ t ɒ t l ɒ n
megbízható	m ɛ ɡ b iː s h ɒ t oː
megbízhatóan	m ɛ ɡ b iː s h ɒ t oː ɒ n
megbízott	m ɛ ɡ b iː z o tː
megcsinálni	m ɛ k t͡ʃ i n aː l n i
megegyezés	m ɛ ɡ ɛ ɟː ɛ z eː ʃ
megelőzése	m ɛ ɡ ɛ l øː z eː ʃ ɛ
megelőző	m ɛ ɡ ɛ l øː z øː
megerősítése	m ɛ ɡ ɛ r øː ʃ iː t eː ʃ ɛ
megfelel	m ɛ k f ɛ l ɛ l
megfelelni	m ɛ k f ɛ l ɛ l n i
megfelelően	m ɛ k f ɛ l ɛ l øː ɛ n
megfigyelő	m ɛ k f i ɟ ɛ l øː
megfigyelőrendszer	m ɛ k f i ɟ ɛ l øː r ɛ n t͡s ɛ r
megfogalmaz	m ɛ k f o ɡ ɒ l m ɒ z
megfogalmazni	m ɛ k f o ɡ ɒ l m ɒ z n i
megfoghatatlan	m ɛ k f o k h ɒ t ɒ t l ɒ n
meggyőző	m ɛ ɡ ɟ øː z øː
meggyőződve	m ɛ ɡ ɟ øː z øː d v ɛ
meghajol	m ɛ k h ɒ j o l
meghalt	m ɛ k h ɒ l t
meghaltak	m ɛ k h ɒ l t ɒ k
meghatározható	m ɛ k h ɒ t aː r o s h ɒ t oː
meghatározott	m ɛ k h ɒ t aː r o z o tː
meghatározás	m ɛ k h ɒ t aː r o z aː ʃ
meghatározása	m ɛ k h ɒ t aː r o z aː ʃ ɒ
meghatározását	m ɛ k h ɒ t aː r o z aː ʃ aː t
meghatározó	m ɛ k h ɒ t aː r o z oː
megható	m ɛ k h ɒ t oː
meghitt	m ɛ k h i tː
meghosszabbított	m ɛ k h o sː ɒ bː iː t o tː
meghívást	m ɛ k h iː v aː ʃ t
meghívó	m ɛ k h iː v oː
megijed	m ɛ ɡ i j ɛ d
megint	m ɛ ɡ i n t
megjegyezni	m ɛ ɡ j ɛ ɟ ɛ z n i
megjegyzés	m ɛ ɡ j ɛ ɟ z eː ʃ
megjegyzést	m ɛ ɡ j ɛ ɟ z eː ʃ t
megjelenik	m ɛ ɡ j ɛ l ɛ n i k
megjelent	m ɛ ɡ j ɛ l ɛ n t
megjelenés	m ɛ ɡ j ɛ l ɛ n eː ʃ
megjelenése	m ɛ ɡ j ɛ l ɛ n eː ʃ ɛ
megjelenési	m ɛ ɡ j ɛ l ɛ n eː ʃ i
megjelenést	m ɛ ɡ j ɛ l ɛ n eː ʃ t
megjelenésű	m ɛ ɡ j ɛ l ɛ n eː ʃ yː
megjelenít	m ɛ ɡ j ɛ l ɛ n iː t
megjelenő	m ɛ ɡ j ɛ l ɛ n øː
megkezdte	m ɛ kː ɛ s t ɛ
megkezdése	m ɛ kː ɛ z d eː ʃ ɛ
megkezdődik	m ɛ kː ɛ z d øː d i k
megkérdezte	m ɛ kː eː r d ɛ s t ɛ
megköszönni	m ɛ kː ø s ø nː i
meglehetősen	m ɛ ɡ l ɛ h ɛ t øː ʃ ɛ n
meglepetés	m ɛ ɡ l ɛ p ɛ t eː ʃ
meglepetést	m ɛ ɡ l ɛ p ɛ t eː ʃ t
meglepő	m ɛ ɡ l ɛ p øː
meglepőbb	m ɛ ɡ l ɛ p øː bː
meglepően	m ɛ ɡ l ɛ p øː ɛ n
meglévő	m ɛ ɡ l eː v øː
megmarad	m ɛ ɡ m ɒ r ɒ d
megmaradó	m ɛ ɡ m ɒ r ɒ d oː
megnevezés	m ɛ ɡ n ɛ v ɛ z eː ʃ
megnyerte	m ɛ ɡ ɲ ɛ r t ɛ
megnyugtató	m ɛ ɡ ɲ u k t ɒ t oː
megnövekedett	m ɛ ɡ n ø v ɛ k ɛ d ɛ tː
megold	m ɛ ɡ o l d
megoldani	m ɛ ɡ o l d ɒ n i
megoldhatatlan	m ɛ ɡ o l t h ɒ t ɒ t l ɒ n
megoldás	m ɛ ɡ o l d aː ʃ
megoldások	m ɛ ɡ o l d aː ʃ o k
megoldásokat	m ɛ ɡ o l d aː ʃ o k ɒ t
megoldással	m ɛ ɡ o l d aː ʃː ɒ l
megoldást	m ɛ ɡ o l d aː ʃ t
megoldására	m ɛ ɡ o l d aː ʃ aː r ɒ
megoldását	m ɛ ɡ o l d aː ʃ aː t
megpróbáltatás	m ɛ k p r oː b aː l t ɒ t aː ʃ
megrendelés	m ɛ ɡ r ɛ n d ɛ l eː ʃ
megrendelést	m ɛ ɡ r ɛ n d ɛ l eː ʃ t
megrendezésre	m ɛ ɡ r ɛ n d ɛ z eː ʃ r ɛ
megrázó	m ɛ ɡ r aː z oː
megszerzése	m ɛ k s ɛ r z eː ʃ ɛ
megszerzésére	m ɛ k s ɛ r z eː ʃ eː r ɛ
megszokott	m ɛ k s o k o tː
megszállás	m ɛ k s aː lː aː ʃ
megszüntetése	m ɛ k s y n t ɛ t eː ʃ ɛ
megtalál	m ɛ k t ɒ l aː l
megtalálni	m ɛ k t ɒ l aː l n i
megtalálta	m ɛ k t ɒ l aː l t ɒ
megtartani	m ɛ k t ɒ r t ɒ n i
megtartása	m ɛ k t ɒ r t aː ʃ ɒ
megtekintéséhez	m ɛ k t ɛ k i n t eː ʃ eː ɦ ɛ z
megtelik	m ɛ k t ɛ l i k
megteremtése	m ɛ k t ɛ r ɛ m t eː ʃ ɛ
megtermékenyítés	m ɛ k t ɛ r m eː k ɛ ɲ iː t eː ʃ
megtesz	m ɛ k t ɛ s
megtette	m ɛ k t ɛ tː ɛ
megtud	m ɛ k t u d
megtudni	m ɛ k t u d n i
megtudta	m ɛ k t u tː ɒ
megtudtam	m ɛ k t u tː ɒ m
megvenni	m ɛ ɡ v ɛ nː i
megvizsgál	m ɛ ɡ v i ʒ ɡ aː l
megválasztott	m ɛ ɡ v aː l ɒ s t o tː
megváltozik	m ɛ ɡ v aː l t o z i k
megvásárolni	m ɛ ɡ v aː ʃ aː r o l n i
megy	m ɛ ɟ
megyei	m ɛ ɟ ɛ j i
megáldott	m ɛ ɡ aː l d o tː
megállapodás	m ɛ ɡ aː lː ɒ p o d aː ʃ
megállapított	m ɛ ɡ aː lː ɒ p iː t o tː
megállás	m ɛ ɡ aː lː aː ʃ
megérteni	m ɛ ɡ eː r t ɛ n i
megértés	m ɛ ɡ eː r t eː ʃ
megítélése	m ɛ ɡ iː t eː l eː ʃ ɛ
megölte	m ɛ ɡ ø l t ɛ
megújuló	m ɛ ɡ uː j u l oː
megőrizni	m ɛ ɡ øː r i z n i
mekkora	m ɛ kː o r ɒ
meleg	m ɛ l ɛ ɡ
melegebb	m ɛ l ɛ ɡ ɛ bː
mellem	m ɛ lː ɛ m
mellett	m ɛ lː ɛ tː
mellette	m ɛ lː ɛ tː ɛ
melletti	m ɛ lː ɛ tː i
mellettünk	m ɛ lː ɛ tː y ŋ k
mellső	m ɛ l ʃ øː
mellyel	m ɛ jː ɛ l
mellékes	m ɛ lː eː k ɛ ʃ
mellékhatás	m ɛ lː eː k h ɒ t aː ʃ
melléklet	m ɛ lː eː k l ɛ t
mellőle	m ɛ lː øː l ɛ
mely	m ɛ j
melyből	m ɛ j b øː l
melyek	m ɛ j ɛ k
melyekben	m ɛ j ɛ ɡ b ɛ n
melyeken	m ɛ j ɛ k ɛ n
melyeket	m ɛ j ɛ k ɛ t
melyekkel	m ɛ j ɛ kː ɛ l
melyeknek	m ɛ j ɛ k n ɛ k
melyekre	m ɛ j ɛ k r ɛ
melyen	m ɛ j ɛ n
melyet	m ɛ j ɛ t
melyhez	m ɛ j h ɛ z
melynek	m ɛ j n ɛ k
melyre	m ɛ j r ɛ
memória	m ɛ m oː r i j ɒ
memóriát	m ɛ m oː r i j aː t
menedzser	m ɛ n ɛ d͡ʒː ɛ r
menedzserek	m ɛ n ɛ d͡ʒː ɛ r ɛ k
menedzsment	m ɛ n ɛ d͡ʒ m ɛ n t
menedék	m ɛ n ɛ d eː k
menekült	m ɛ n ɛ k y l t
menekültek	m ɛ n ɛ k y l t ɛ k
menet	m ɛ n ɛ t
menete	m ɛ n ɛ t ɛ
menetrend	m ɛ n ɛ t r ɛ n d
menj	m ɛ ɲː
menjünk	m ɛ ɲː y ŋ k
menne	m ɛ nː ɛ
mennek	m ɛ nː ɛ k
menni	m ɛ nː i
mennyből	m ɛ ɲ b øː l
mennyei	m ɛ ɲː ɛ j i
mennyi	m ɛ ɲː i
mennyire	m ɛ ɲː i r ɛ
mennyiség	m ɛ ɲː i ʃ eː ɡ
mennyisége	m ɛ ɲː i ʃ eː ɡ ɛ
mennyiségek	m ɛ ɲː i ʃ eː ɡ ɛ k
mennyiségi	m ɛ ɲː i ʃ eː ɡ i
mennyiségét	m ɛ ɲː i ʃ eː ɡ eː t
mennyiségű	m ɛ ɲː i ʃ eː ɡ yː
mennyit	m ɛ ɲː i t
mennyivel	m ɛ ɲː i v ɛ l
ment	m ɛ n t
mentek	m ɛ n t ɛ k
mentem	m ɛ n t ɛ m
mentes	m ɛ n t ɛ ʃ
menti	m ɛ n t i
mentél	m ɛ n t eː l
mentén	m ɛ n t eː n
mentünk	m ɛ n t y ŋ k
mentők	m ɛ n t øː k
menyasszony	m ɛ ɲ ɒ sː o ɲ
menük	m ɛ n y k
menüpont	m ɛ n y p o n t
merek	m ɛ r ɛ k
merem	m ɛ r ɛ m
merev	m ɛ r ɛ v
merevlemez	m ɛ r ɛ v l ɛ m ɛ z
meri	m ɛ r i
meritek	m ɛ r i t ɛ k
mert	m ɛ r t
merte	m ɛ r t ɛ
merényletek	m ɛ r eː ɲ l ɛ t ɛ k
merénylő	m ɛ r eː ɲ l øː
merészel	m ɛ r eː s ɛ l
merőleges	m ɛ r øː l ɛ ɡ ɛ ʃ
messze	m ɛ sː ɛ
messzebb	m ɛ sː ɛ bː
messzi	m ɛ sː i
messzire	m ɛ sː i r ɛ
messziről	m ɛ sː i r øː l
mester	m ɛ ʃ t ɛ r
mestere	m ɛ ʃ t ɛ r ɛ
mestereket	m ɛ ʃ t ɛ r ɛ k ɛ t
mesék	m ɛ ʃ eː k
mesél	m ɛ ʃ eː l
mesét	m ɛ ʃ eː t
meteorológiai	m ɛ t ɛ o r o l oː ɡ i j ɒ j i
metró	m ɛ t r oː
mezei	m ɛ z ɛ j i
mezítláb	m ɛ z iː t l aː b
mezőgazdasági	m ɛ z øː ɡ ɒ z d ɒ ʃ aː ɡ i
mezők	m ɛ z øː k
