aad	aː t
kleed	k l eː t
klei	k l ɛ i̯
kleindochter	k l ɛ i̯ n d ɔ x t ə r
kleine	k l ɛ i̯ n ə
kleingeld	k l ɛ i̯ n ɣ ɛ l t
kleinkind	k l ɛ i̯ n k ɪ n t
kleinkunst	k l ɛ i̯ n k ʏ n s t
kleinood	k l ɛ i̯ n oː t
kleinoogrog	k l ɛ i̯ n oː x r ɔ x
kleinzoon	k l ɛ i̯ n z oː n
klem	k l ɛ m
klemmen	k l ɛ m ə n
klep	k l ɛ p
kleren	k l eː r ə n
kleuter	k l øː t ə r
kleuterleidster	k l øː t ə r l ɛ i̯ t s t ə r
kleven	k l eː v ə n
klikken	k l ɪ k ə n
klikspaan	k l i k s p aː n
klim	k l ɪ m
klimaat	k l i m aː t
klimaatbeleid	k l i m aː t b ə l ɛ i̯ t
klimmen	k l ɪ m ə n
klimplant	k l ɪ m p l ɑ n t
klimt	k l ɪ m t
kliniek	k l i n i k
klit	k l ɪ t
kloek	k l u k
klok	k l ɔ k
klokke	k l ɔ k ə
klokken	k l ɔ k ə n
klokkenluider	k l ɔ k ə n l œ y̯ d ə r
klom	k l ɔ m
klompen	k l ɔ m p ə n
klompendans	k l ɔ m p ə n d ɑ n s
klont	k l ɔ n t
kloof	k l oː f
kloppen	k l ɔ p ə n
klopt	k l ɔ p t
klos	k l ɔ s
kluiven	k l œ y̯ v ə n
kluwen	k l y u̯ ə n
knaag	k n aː x
knaak	k n aː k
knaap	k n aː p
knagen	k n aː ɣ ə n
knaller	k n ɑ l ə r
knap	k n ɑ p
knappen	k n ɑ p ə n
knar	k n ɑ r
kneden	k n eː d ə n
knieschijf	k n i s x ɛ i̯ f
knieën	k n i ə n
knijpen	k n ɛ i̯ p ə n
knikken	k n ɪ k ə n
knil	k n ɪ l
knipoog	k n ɪ p oː x
knippen	k n ɪ p ə n
knipperlicht	k n ɪ p ə r l ɪ x t
knipsel	k n ɪ p s ə l
knisperen	k n ɪ s p ə r ə n
knoflook	k n ɔ f l oː k
knokken	k n ɔ k ə n
knokpartij	k n ɔ k p ɑ r t ɛ i̯
knoop	k n oː p
knopen	k n oː p ə n
knuffel	k n ʏ f ə l
knuffelen	k n ʏ f ə l ə n
kocht	k ɔ x t
kochten	k ɔ x t ə n
koeien	k u i̯ ə n
koekenpan	k u k ə m p ɑ n
koekje	k u k j ə
koekoek	k u k u k
koel	k u l
koelen	k u l ə n
koeling	k u l ɪ ŋ
koelkast	k u l k ɑ s t
koelte	k u l t ə
koeltoren	k u l t oː r ə n
koepel	k u p ə l
koers	k uː r s
koesteren	k u s t ə r ə n
koetshuis	k u t s ɦ œ y̯ s
koetsier	k u t s iː r
koffer	k ɔ f ə r
koffie	k ɔ f i
koffieboon	k ɔ f i b oː n
kok	k ɔ k
kokarde	k oː k ɑ r d ə
koker	k oː k ə r
kokos	k oː k ɔ s
kokstoven	k ɔ k s t oː v ə n
kolder	k ɔ l d ə r
kolonel	k oː l oː n ɛ l
kom	k ɔ m
komaf	k ɔ m ɑ f
komen	k oː m ə n
komisch	k oː m i s
kompas	k ɔ m p ɑ s
komplot	k ɔ m p l ɔ t
komt	k ɔ m t
kon	k ɔ n
konijn	k oː n ɛ i̯ n
konijnenhol	k oː n ɛ i̯ n ə n ɦ ɔ l
koning	k oː n ɪ ŋ
koningin	k oː n ɪ ŋ ɪ n
koninginnedag	k oː n ɪ ŋ ɪ n ə d ɑ x
koningshuis	k oː n ɪ ŋ s ɦ œ y̯ s
koninklijk	k oː n ɪ ŋ k l ə k
koninkrijk	k oː n ɪ ŋ k r ɛ i̯ k
kont	k ɔ n t
konvooi	k ɔ n v oː i̯
koog	k oː x
kooi	k oː i̯
kookboek	k oː k b u k
kookkunst	k oː k ʏ n s t
kookplaat	k oː k p l aː t
kookpunt	k oː k p ʏ n t
kooldioxide	k oː l d i ɔ k s i d ə
koolmonoxide	k oː l m oː n ɔ k s i d ə
koolrabi	k oː l r aː b i
koolstofmonoxide	k oː l s t ɔ f m oː n ɔ k s i d ə
koop	k oː p
koopavond	k oː p aː v ɔ n t
koopt	k oː p t
koopvaardijschip	k oː p f aː r d ɛ i̯ s x ɪ p
koopzondag	k oː p s ɔ n d ɑ x
koor	k oː r
koortsachtig	k oː r t s ɑ x t ə x
kopen	k oː p ə n
koper	k oː p ə r
koploper	k ɔ p l oː p ə r
koprol	k ɔ p r ɔ l
kopstuk	k ɔ p s t ʏ k
koptelefoon	k ɔ p t eː l ə f oː n
koptisch	k ɔ p t i s
kor	k ɔ r
koraal	k oː r aː l
korea	k oː r eː aː
korrel	k ɔ r ə l
kort	k ɔ r t
korten	k ɔ r t ə n
korting	k ɔ r t ɪ ŋ
kortzichtig	k ɔ r t s ɪ x t ə x
kosmopolitisch	k ɔ s m oː p oː l i t i s
kost	k ɔ s t
kostbaar	k ɔ s t b aː r
kostelijk	k ɔ s t ə l ə k
kosteloos	k ɔ s t ə l oː s
kosten	k ɔ s t ə n
koster	k ɔ s t ə r
koter	k oː t ə r
kou	k ɑ u̯
koud	k ɑ u̯ t
kouwe	k ɑ u̯ ə
kraag	k r aː x
kraai	k r aː i̯
kraaien	k r aː i̯ ə n
kraan	k r aː n
kraanwater	k r aː n ʋ aː t ə r
krab	k r ɑ p
kracht	k r ɑ x t
krachteloos	k r ɑ x t ə l oː s
krachtig	k r ɑ x t ə x
krachtmeting	k r ɑ x t m eː t ɪ ŋ
krachtterm	k r ɑ x t ɛ r m
kraken	k r aː k ə n
kramer	k r aː m ə r
kranenburg	k r aː n ə n b ʏ r x
kranendonk	k r aː n ə n d ɔ ŋ k
krans	k r ɑ n s
krant	k r ɑ n t
krap	k r ɑ p
krat	k r ɑ t
krater	k r aː t ə r
kreng	k r ɛ ŋ
krentenbol	k r ɛ n t ə n b ɔ l
krenterig	k r ɛ n t ə r ə x
kreupel	k r øː p ə l
krijg	k r ɛ i̯ x
krijgen	k r ɛ i̯ ɣ ə n
krijger	k r ɛ i̯ ɣ ə r
krijgsmacht	k r ɛ i̯ x s m ɑ x t
krijgsman	k r ɛ i̯ x s m ɑ n
krijt	k r ɛ i̯ t
krikken	k r ɪ k ə n
kringloopwinkel	k r ɪ ŋ l oː p ʋ ɪ ŋ k ə l
kristal	k r ɪ s t ɑ l
kritiek	k r i t i k
kroatië	k r oː aː t s i j ə
kroeg	k r u x
kroes	k r u s
krokus	k r oː k ʏ s
krokusvakantie	k r oː k ʏ s f aː k ɑ n t s i
kronen	k r oː n ə n
kroongetuige	k r oː n ɣ ə t œ y̯ ɣ ə
kroonlijst	k r oː n l ɛ i̯ s t
kroonluchter	k r oː n l ʏ x t ə r
kroonprinses	k r oː n p r ɪ n s ɛ s
krop	k r ɔ p
kruid	k r œ y̯ t
kruiden	k r œ y̯ d ə n
kruin	k r œ y̯ n
kruipen	k r œ y̯ p ə n
kruis	k r œ y̯ s
kruisboog	k r œ y̯ s b oː x
kruisen	k r œ y̯ s ə n
kruising	k r œ y̯ s ɪ ŋ
kruispunt	k r œ y̯ s p ʏ n t
kruiwagen	k r œ y̯ ʋ aː ɣ ə n
krukas	k r ʏ k ɑ s
kudde	k ʏ d ə
kuijpers	k œ y̯ p ə r s
kuiken	k œ y̯ k ə n
kuil	k œ y̯ l
kuip	k œ y̯ p
kuiper	k œ y̯ p ə r
kul	k ʏ l
kummel	k ʏ m ə l
kun	k ʏ n
kunde	k ʏ n d ə
kunnen	k ʏ n ə n
kunst	k ʏ n s t
kunstlicht	k ʏ n s t l ɪ x t
kunstmest	k ʏ n s t m ɛ s t
kunstmestzak	k ʏ n s t m ɛ s t z ɑ k
kunstwerk	k ʏ n s t ʋ ɛ r k
kuren	k y r ə n
kus	k ʏ s
kussen	k ʏ s ə n
kust	k ʏ s t
kustplaats	k ʏ s t p l aː t s
kustwater	k ʏ s t ʋ aː t ə r
kut	k ʏ t
kwaad	k ʋ aː t
kwadraat	k ʋ aː d r aː t
kwak	k ʋ ɑ k
kwalijk	k ʋ aː l ə k
kwalijker	k ʋ aː l ə k ə r
kwart	k ʋ ɑ r t
kwartaal	k ʋ ɑ r t aː l
kwartel	k ʋ ɑ r t ə l
kwast	k ʋ ɑ s t
kweekschool	k ʋ eː k s x oː l
kweekvijver	k ʋ eː k f ɛ i̯ v ə r
kwekerij	k ʋ eː k ə r ɛ i̯
kwestie	k ʋ ɛ s t i
kwetsbaar	k ʋ ɛ t s b aː r
kwetsbaarheid	k ʋ ɛ t s b aː r ɦ ɛ i̯ t
kwetsen	k ʋ ɛ t s ə n
kwiek	k ʋ i k
kwijtschelding	k ʋ ɛ i̯ t s x ɛ l d ɪ ŋ
kwispel	k ʋ ɪ s p ə l
kwistig	k ʋ ɪ s t ə x
la	l aː
laag	l aː x
laagste	l aː x s t ə
laan	l aː n
laars	l aː r s
laat	l aː t
laatst	l aː t s t
laatste	l aː t s t ə
lach	l ɑ x
lachen	l ɑ x ə n
lacht	l ɑ x t
lactase	l ɑ k t aː z ə
lactose	l ɑ k t oː z ə
laden	l aː d ə n
lager	l aː ɣ ə r
lak	l ɑ k
laken	l aː k ə n
lakken	l ɑ k ə n
lam	l ɑ m
lama	l aː m aː
lamlendig	l ɑ m l ɛ n d ə x
lanceren	l ɑ n s eː r ə n
land	l ɑ n t
landbouw	l ɑ n t b ɑ u̯
landbouwgif	l ɑ n t b ɑ u̯ ɣ ɪ f
lande	l ɑ n d ə
landen	l ɑ n d ə n
landgoed	l ɑ n t x uː t
landgraaf	l ɑ n t x r aː f
landman	l ɑ n t m ɑ n
landschap	l ɑ n t s x ɑ p
landzaat	l ɑ n t s aː t
lang	l ɑ ŋ
lange	l ɑ ŋ ə
langlaufen	l ɑ ŋ l ɑ u̯ f ə n
langs	l ɑ ŋ s
langwerpig	l ɑ ŋ ʋ ɛ r p ə x
langzaam	l ɑ ŋ z aː m
lans	l ɑ n s
lanskorporaal	l ɑ n s k ɔ r p oː r aː l
lappen	l ɑ p ə n
larf	l ɑ r f
lars	l ɑ r s
larve	l ɑ r v ə
laser	l eː z ə r
lassen	l ɑ s ə n
last	l ɑ s t
lasten	l ɑ s t ə n
lastercampagne	l ɑ s t ə r k ɑ m p ɑ n j ə
lasterlijk	l ɑ s t ə r l ə k
lat	l ɑ t
late	l aː t ə
laten	l aː t ə n
laura	l ɑ u̯ r aː
laurens	l ɑ u̯ r ə n s
lauw	l ɑ u̯
lavendel	l aː v ɛ n d ə l
ledenbestand	l eː d ə n b ə s t ɑ n t
leder	l eː d ə r
leefgebied	l eː f x ə b i t
leefmilieu	l eː f m ɪ l j øː
leeftijd	l eː f t ɛ i̯ t
leeg	l eː x
leek	l eː k
leen	l eː n
leer	l eː r
leerachterstand	l eː r ɑ x t ə r s t ɑ n t
leerdam	l eː r d ɑ m
leergang	l eː r ɣ ɑ ŋ
leerkracht	l eː r k r ɑ x t
leerling	l eː r l ɪ ŋ
leerlinge	l eː r l ɪ ŋ ə
leerlooierij	l eː r l oː i̯ ə r ɛ i̯
leerstof	l eː r s t ɔ f
leersum	l eː r s ʏ m
leert	l eː r t
leerzaam	l eː r z aː m
lees	l eː s
leest	l eː s t
leesten	l eː s t ə n
leesvoer	l eː s v uː r
leeuw	l eː u̯
leeuwarden	l eː ʋ ɑ r d ə n
leeuwendeel	l eː u̯ ə n d eː l
leg	l ɛ x
leger	l eː ɣ ə r
legerkorps	l eː ɣ ə r k ɔ r p s
legerleiding	l eː ɣ ə r l ɛ i̯ d ɪ ŋ
legerofficier	l eː ɣ ə r ɔ f i s iː r
leggen	l ɛ ɣ ə n
legio	l eː ɣ i oː
legionella	l eː ɣ i oː n ɛ l aː
legt	l ɛ x t
leiband	l ɛ i̯ b ɑ n t
leid	l ɛ i̯ t
leider	l ɛ i̯ d ə r
leiderschap	l ɛ i̯ d ə r s x ɑ p
leiding	l ɛ i̯ d ɪ ŋ
leidingwater	l ɛ i̯ d ɪ ŋ ʋ aː t ə r
leidschendam	l ɛ i̯ t s ə n d ɑ m
leidt	l ɛ i̯ t
leie	l ɛ i̯ ə
leken	l eː k ə n
lekkage	l ɛ k aː ʒ ə
lelijk	l eː l ə k
lelystad	l eː l i s t ɑ t
lemma	l ɛ m aː
lenen	l eː n ə n
lengte	l ɛ ŋ t ə
lens	l ɛ n s
lentefeest	l ɛ n t ə f eː s t
leo	l eː oː
leopold	l eː oː p ɔ l t
leraar	l eː r aː r
leren	l eː r ə n
lesbienne	l ɛ s b i ɛ n ə
lesgeven	l ɛ s x eː v ə n
lessen	l ɛ s ə n
letten	l ɛ t ə n
letter	l ɛ t ə r
letterkundig	l ɛ t ə r k ʏ n d ə x
letterlijk	l ɛ t ə r l ə k
leudal	l øː d ɑ l
leugen	l øː ɣ ə n
leuk	l øː k
leusden	l øː s d ə n
leuven	l øː v ə n
leven	l eː v ə n
levendig	l eː v ə n d ə x
levensecht	l eː v ə n s ɛ x t
levensgeschiedenis	l eː v ə n s x ə s x i d ə n ɪ s
levensgevaar	l eː v ə n s x ə v aː r
levensgevaarlijk	l eː v ə n s x ə v aː r l ə k
levensvatbaar	l eː v ə n s f ɑ t b aː r
lever	l eː v ə r
leveren	l eː v ə r ə n
lexmond	l ɛ k s m ɔ n t
lezen	l eː z ə n
lezer	l eː z ə r
lezing	l eː z ɪ ŋ
lia	l i aː
libelle	l i b ɛ l ə
libië	l i b i j ə
lichaam	l ɪ x aː m
lichaamsbouw	l ɪ x aː m s b ɑ u̯
licht	l ɪ x t
lichten	l ɪ x t ə n
lichtgewicht	l ɪ x t x ə ʋ ɪ x t
lichtinval	l ɪ x t ɪ n v ɑ l
lichtsnelheid	l ɪ x t s n ɛ l ɦ ɛ i̯ t
lid	l ɪ t
lidstaat	l ɪ t s t aː t
lied	l i t
lief	l i f
liefde	l i f d ə
liefdesleven	l i f d ə s l eː v ə n
liefhebben	l i f ɦ ɛ b ə n
lieke	l i k ə
lier	l i r
lieslaars	l i s l aː r s
lift	l ɪ f t
lig	l ɪ x
ligfiets	l ɪ x f i t s
liggen	l ɪ ɣ ə n
ligt	l ɪ x t
ligweide	l ɪ x ʋ ɛ i̯ d ə
lijden	l ɛ i̯ d ə n
lijfspreuk	l ɛ i̯ f s p r øː k
lijk	l ɛ i̯ k
lijken	l ɛ i̯ k ə n
lijkfeest	l ɛ i̯ k f eː s t
lijkschouwing	l ɛ i̯ k s x ɑ u̯ ɪ ŋ
lijm	l ɛ i̯ m
lijmen	l ɛ i̯ m ə n
lijn	l ɛ i̯ n
lijnen	l ɛ i̯ n ə n
lijnzaad	l ɛ i̯ n z aː t
lijnzaadolie	l ɛ i̯ n z aː t oː l i
lijst	l ɛ i̯ s t
likken	l ɪ k ə n
limbo	l ɪ m b oː
limburg	l ɪ m b ʏ r x
limburger	l ɪ m b ʏ r ɣ ə r
limburgs	l ɪ m b ʏ r x s
limiet	l i m i t
limpido	l ɪ m p i d oː
linda	l ɪ n d aː
linde	l ɪ n d ə
lindeboom	l ɪ n d ə b oː m
link	l ɪ ŋ k
links	l ɪ ŋ k s
linnen	l ɪ n ə n
linschoten	l ɪ n s x oː t ə n
lint	l ɪ n t
lip	l ɪ p
lipide	l i p i d ə
lippenstift	l ɪ p ə n s t ɪ f t
lipstick	l ɪ p s t ɪ k
lisa	l i z aː
lissabon	l ɪ s aː b ɔ n
lisse	l ɪ s ə
list	l ɪ s t
listig	l ɪ s t ə x
liter	l i t ə r
literatuur	l i t ə r aː t y r
litteken	l ɪ t eː k ə n
liturgie	l i t ʏ r ɣ i
livestream	l ɑ i̯ v s t r iː m
living	l ɪ v ɪ ŋ
lochem	l ɔ x ə m
locomotief	l oː k oː m oː t i f
lodewijk	l oː d ə ʋ ɛ i̯ k
lof	l ɔ f
log	l ɔ x
logboek	l ɔ x b u k
logica	l oː ɣ i k aː
logisch	l oː ɣ i s
lokaal	l oː k aː l
loket	l oː k ɛ t
lol	l ɔ l
londen	l ɔ n d ə n
london	l ɔ n d ə n
lonen	l oː n ə n
long	l ɔ ŋ
longkanker	l ɔ ŋ k ɑ ŋ k ə r
loo	l oː
loochenen	l oː x ə n ə n
lood	l oː t
loods	l oː t s
loodsen	l oː t s ə n
loon	l oː n
loop	l oː p
loopafstand	l oː p ɑ f s t ɑ n t
loopbaan	l oː p b aː n
loopgraaf	l oː p x r aː f
loopjongen	l oː p j ɔ ŋ ə n
loopt	l oː p t
loos	l oː s
lopen	l oː p ə n
los	l ɔ s
loslaten	l ɔ s l aː t ə n
losser	l ɔ s ə r
lot	l ɔ t
loten	l oː t ə n
lotgenoot	l ɔ t x ə n oː t
lotharingen	l oː t aː r ɪ ŋ ə n
lotte	l ɔ t ə
lotus	l oː t ʏ s
louis	l u i
louter	l ɑ u̯ t ə r
loven	l oː v ə n
lover	l oː v ə r
loyaliteit	l oː j aː l i t ɛ i̯ t
lucas	l y k ɑ s
lucht	l ʏ x t
luchten	l ʏ x t ə n
luchtfilter	l ʏ x t f ɪ l t ə r
luchtmacht	l ʏ x t m ɑ x t
luchtruim	l ʏ x t r œ y̯ m
luchtvochtigheid	l ʏ x t v ɔ x t ə x ɦ ɛ i̯ t
luchtweerstand	l ʏ x t ʋ eː r s t ɑ n t
lucifer	l y s i f ɛ r
luid	l œ y̯ t
luide	l œ y̯ d ə
luiden	l œ y̯ d ə n
luier	l œ y̯ ə r
luis	l œ y̯ s
luister	l œ y̯ s t ə r
luisteraar	l œ y̯ s t ə r aː r
luisterboek	l œ y̯ s t ə r b u k
luisteren	l œ y̯ s t ə r ə n
luitenant	l œ y̯ t ə n ɑ n t
lullen	l ʏ l ə n
lunch	l ʏ n ʃ
lunchen	l ʏ n ʃ ə n
lutherse	l y t ə r s ə
luuk	l y k
luxemburg	l y k s ə m b ʏ r x
maag	m aː x
maagd	m aː x t
maaien	m aː i̯ ə n
maaike	m aː i̯ k ə
maak	m aː k
maakt	m aː k t
maakte	m aː k t ə
maakten	m aː k t ə n
maal	m aː l
maaltijden	m aː l t ɛ i̯ d ə n
maand	m aː n t
maandag	m aː n d ɑ x
maandblad	m aː n t b l ɑ t
maandelijks	m aː n d ə l ə k s
maanden	m aː n d ə n
maarn	m aː r n
maarschalk	m aː r s x ɑ l k
maart	m aː r t
maarten	m aː r t ə n
maas	m aː s
maastricht	m aː s t r ɪ x t
maat	m aː t
maatregel	m aː t r eː ɣ ə l
maatschappij	m aː t s x ɑ p ɛ i̯
maatschappijleer	m aː t s x ɑ p ɛ i̯ l eː r
maatstaf	m aː t s t ɑ f
macedonië	m ɑ s ə d oː n i j ə
machinaal	m aː ʃ i n aː l
machine	m ɑ ʃ i n ə
machines	m ɑ ʃ i n ə s
macho	m ɑ t ʃ oː
machteloos	m ɑ x t ə l oː s
machteloosheid	m ɑ x t ə l oː s ɦ ɛ i̯ t
machtiging	m ɑ x t ə ɣ ɪ ŋ
machtsovername	m ɑ x t s oː v ə r n aː m ə
machtsstrijd	m ɑ x t s t r ɛ i̯ t
machtsvacuüm	m ɑ x t s v aː k y ʏ m
made	m aː d ə
maf	m ɑ f
mag	m ɑ x
mager	m aː ɣ ə r
magie	m aː ɣ i
magisch	m aː ɣ i s
magnolia	m ɑ x n oː l i aː
mailen	m eː l ə n
majoor	m aː j oː r
mak	m ɑ k
make	m aː k ə
makelij	m aː k ə l ɛ i̯
maken	m aː k ə n
makkelijk	m ɑ k ə l ə k
mal	m ɑ l
malen	m aː l ə n
mallemolen	m ɑ l ə m oː l ə n
malware	m ɑ l ʋ ɛː r
mama	m ɑ m aː
mammoet	m ɑ m u t
mand	m ɑ n t
mango	m ɑ ŋ ɡ oː
manieren	m ɑ n iː r ə n
manja	m ɑ n j aː
mankeren	m ɑ ŋ k eː r ə n
mannelijk	m ɑ n ə l ə k
mannen	m ɑ n ə n
mannetje	m ɑ n ə t j ə
manon	m aː n ɔ n
mantel	m ɑ n t ə l
mantelzorg	m ɑ n t ə l z ɔ r x
mantelzorger	m ɑ n t ə l z ɔ r ɣ ə r
manuscript	m aː n y s k r ɪ p t
map	m ɑ p
margarine	m ɑ r ɣ aː r i n ə
maria	m aː r i j aː
marieke	m aː r i k ə
marien	m aː r i n
marijke	m aː r ɛ i̯ k ə
marijnissen	m aː r ɛ i̯ n ɪ s ə n
marina	m aː r i n aː
marinade	m aː r i n aː d ə
marine	m aː r i n ə
marionet	m aː r i oː n ɛ t
maris	m aː r ɪ s
marja	m ɑ r j aː
mark	m ɑ r k
markgraaf	m ɑ r k x r aː f
markt	m ɑ r k t
marktconform	m ɑ r k t k ɔ n f ɔ r m
marktdenken	m ɑ r k t d ɛ ŋ k ə n
markteconomie	m ɑ r k t eː k oː n oː m i
marktleider	m ɑ r k t l ɛ i̯ d ə r
marktplaats	m ɑ r k t p l aː t s
marktplein	m ɑ r k t p l ɛ i̯ n
marktwerking	m ɑ r k t ʋ ɛ r k ɪ ŋ
marmer	m ɑ r m ə r
marokko	m aː r ɔ k oː
mars	m ɑ r s
martelen	m ɑ r t ə l ə n
martens	m ɑ r t ə n s
marter	m ɑ r t ə r
martijn	m ɑ r t ɛ i̯ n
martyrium	m ɑ r t iː r i ʏ m
masker	m ɑ s k ə r
massage	m ɑ s aː ʒ ə
masseur	m ɑ s øː r
massief	m ɑ s i f
mast	m ɑ s t
materialisme	m aː t eː r i aː l ɪ s m ə
matkop	m ɑ t k ɔ p
matthijs	m ɑ t ɛ i̯ s
maurits	m ɑ u̯ r ɪ t s
mausoleum	m ɑ u̯ z oː l eː ʏ m
mavo	m aː v oː
max	m ɑ k s
maximum	m ɑ k s i m ʏ m
maya	m aː j aː
mazzel	m ɑ z ə l
maïzena	m ɑ i z eː n aː
me	m ə
mechanica	m eː x aː n i k aː
mechelen	m ɛ x ə l ə n
mededogen	m eː d ə d oː ɣ ə n
medeplichtig	m eː d ə p l ɪ x t ə x
medeplichtigheid	m eː d ə p l ɪ x t ə x ɦ ɛ i̯ t
medeschuldig	m eː d ə s x ʏ l d ə x
medezeggenschap	m eː d ə z ɛ ɣ ə n s x ɑ p
medezeggenschapsraad	m eː d ə z ɛ ɣ ə n s x ɑ p s r aː t
mediatheek	m eː d i aː t eː k
medicatie	m eː d i k aː t s i
medicijn	m eː d i s ɛ i̯ n
mee	m eː
meedenken	m eː d ɛ ŋ k ə n
meedingen	m eː d ɪ ŋ ə n
meegenomen	m eː ɣ ə n oː m ə n
meehelpen	m eː ɦ ɛ l p ə n
meel	m eː l
meelopen	m eː l oː p ə n
meent	m eː n t
meer	m eː r
meerderheid	m eː r d ə r ɦ ɛ i̯ t
meerderheidsbelang	m eː r d ə r ɦ ɛ i̯ t s b ə l ɑ ŋ
meerjarenbegroting	m eː r j aː r ə n b ə ɣ r oː t ɪ ŋ
meerjarig	m eː r j aː r ə x
meerpolder	m eː r p ɔ l d ə r
meerssen	m eː r s ə n
meertaligheid	m eː r t aː l ə x ɦ ɛ i̯ t
meervoud	m eː r v ɑ u̯ t
meerwaarde	m eː r ʋ aː r d ə
meestal	m eː s t ɑ l
meesten	m eː s t ə n
meester	m eː s t ə r
meet	m eː t
meetinstrument	m eː t ɪ n s t r y m ɛ n t
meetsysteem	m eː t s i s t eː m
meeuw	m eː u̯
mei	m ɛ i̯
meid	m ɛ i̯ t
meijer	m ɛ i̯ ə r
meikever	m ɛ i̯ k eː v ə r
meisje	m ɛ i̯ ʃ ə
meisjes	m ɛ i̯ s j ə s
melden	m ɛ l d ə n
melding	m ɛ l d ɪ ŋ
melk	m ɛ l k
melken	m ɛ l k ə n
melkweg	m ɛ l k ʋ ɛ x
memorandum	m eː m oː r ɑ n d ʏ m
menen	m eː n ə n
mengpaneel	m ɛ ŋ p aː n eː l
mening	m eː n ɪ ŋ
meningsuiting	m eː n ɪ ŋ s œ y̯ t ɪ ŋ
menno	m ɛ n oː
mens	m ɛ n s
mensachtige	m ɛ n s ɑ x t ə ɣ ə
menselijkheid	m ɛ n s ə l ə k ɦ ɛ i̯ t
mensen	m ɛ n s ə n
mensenmassa	m ɛ n s ə n m ɑ s aː
mensenrechtenschending	m ɛ n s ə n r ɛ x t ə n s x ɛ n d ɪ ŋ
mensensmokkel	m ɛ n s ə n s m ɔ k ə l
mentaliteit	m ɛ n t aː l i t ɛ i t
menu	m ə n y
meppel	m ɛ p ə l
meppen	m ɛ p ə n
mercurius	m ɛ r k yː r i ʏ s
merel	m eː r ə l
meren	m eː r ə n
merkkleding	m ɛ r k l eː d ɪ ŋ
merrie	m ɛ r i
mes	m ɛ s
mesdjid	m ɛ s d ʒ i t
messias	m ɛ s i ɑ s
messing	m ɛ s ɪ ŋ
mest	m ɛ s t
metaal	m eː t aː l
metaaldetector	m eː t aː l d eː t ɛ k t ɔ r
metadata	m eː t aː d aː t aː
metal	m ɛ t ə l
meten	m eː t ə n
meter	m eː t ə r
metro	m eː t r oː
metropool	m eː t r oː p oː l
metselen	m ɛ t s ə l ə n
meubel	m øː b ə l
mevrouw	m ə v r ɑ u̯
meyer	m ɛ i̯ ə r
mezelf	m ə z ɛ l f
mia	m i aː
michel	m i ʃ ə l
michiel	m ɪ x i l
middag	m ɪ d ɑ x
middagmaal	m ɪ d ɑ x m aː l
middaguur	m ɪ d ɑ x yː r
middel	m ɪ d ə l
middelburg	m ɪ d ə l b ʏ r x
middeleeuwen	m ɪ d ə l eː u̯ ə n
middeleeuws	m ɪ d ə l eː u̯ s
middelen	m ɪ d ə l ə n
middelvinger	m ɪ d ə l v ɪ ŋ ə r
middenin	m ɪ d ə n ɪ n
middenmoot	m ɪ d ə n m oː t
middenstand	m ɪ d ə n s t ɑ n t
middenstip	m ɪ d ə n s t ɪ p
middenvelder	m ɪ d ə n v ɛ l t
middernacht	m ɪ d ə r n ɑ x t
mie	m i
mietje	m i t j ə
migrant	m i ɣ r ɑ n t
mij	m ɛ i̯
mijlpaal	m ɛ i̯ l p aː l
mijne	m ɛ i̯ n ə
mijnen	m ɛ i̯ n ə n
mijnheer	m ə n eː r
mijns	m ɛ i̯ n s
mijnwet	m ɛ i̯ n ʋ ɛ t
milieu	m ɪ l j øː
milieubelasting	m ɪ l j øː b ə l ɑ s t ɪ ŋ
militair	m i l i t ɛː r
militaristisch	m i l i t aː r ɪ s t i ʃ
miljard	m ɪ l j ɑ r t
miljoen	m ɪ l j u n
miljonair	m ɪ l j oː n ɛ r
millennium	m i l ɛ n i ʏ m
milliliter	m i l i l i t ə r
min	m ɪ n
minderwaardig	m ɪ n d ə r ʋ aː r d ə x
miniem	m iː n iː m
minimum	m i n i m ʏ m
minister	m i n ɪ s t ə r
minnen	m ɪ n ə n
minuut	m i n y t
miranda	m i r ɑ n d aː
mirjam	m ɪ r j ɑ m
mis	m ɪ s
misbruik	m ɪ s b r œ y̯ k
misbruiken	m ɪ s b r œ y̯ k ə n
miscommunicatie	m ɪ s k ɔ m y n i k aː t s i
misdaad	m ɪ s d aː t
misdadig	m ɪ s d aː d ə x
misdragen	m ɪ s d r aː ɣ ə n
mishandelen	m ɪ s ɦ ɑ n d ə l ə n
mislukken	m ɪ s l ʏ k ə n
miss	m ɪ s
misselijk	m ɪ s ə l ə k
misselijkheid	m ɪ s ə l ə k ɦ ɛ i̯ t
missen	m ɪ s ə n
missie	m ɪ s i
mist	m ɪ s t
mitella	m i t ɛ l aː
mits	m ɪ t s
mitsgaders	m ɪ t s x aː d ə r s
mixer	m ɪ k s ə r
mobiel	m oː b i l
mobieltje	m oː b i l t j ə
mobiliseren	m oː b i l i z eː r ə n
mode	m oː d ə
model	m oː d ɛ l
modelbouwer	m oː d ɛ l b ɑ u̯ ə r
modern	m oː d ɛ r n
modieus	m oː d i øː s
moe	m u
moedeloos	m u d ə l oː s
moeder	m u d ə r
moederdag	m u d ə r d ɑ x
moeheid	m u ɦ ɛ i̯ t
moeite	m u i̯ t ə
moeiteloos	m u i̯ t ə l oː s
moeras	m u r ɑ s
