ᆯ지	ʎ t͡ɕ͈ i
쌍안경	s͈ a̠ ŋ a̠ n ɡ j ʌ̹ ŋ
쌓다	s͈ a̠ tʰ a̠
써리다	s͈ ɘː ɾ i d a̠
써우지	s͈ ʌ̹ u d͡ʑ i
쎈터	s͈ e̞ n tʰ ʌ̹
쏘가리	s͈ o̞ ɡ a̠ ɾ i
쏘다	s͈ o̞ː d a̠
쏜살같이	s͈ o̞ n sʰ a̠ ɭ ɡ a̠ t͡ɕʰ i
쏟아지다	s͈ o̞ d a̠ d͡ʑ i d a̠
쐐기	s͈ w ɛː ɡ i
쐬다	s͈ w e̞ː d a̠
쑤시다	s͈ u ɕʰ i d a̠
쑥갓	s͈ u k̚ k͈ a̠ t̚
쓰다	s͈ ɯ d a̠
쓰다듬다	s͈ ɯ d a̠ d ɯ m t͈ a̠
쓰딸로바야	s͈ ɯ t͈ a̠ ɭ ɭ o̞ b a̠ j a̠
쓰러지다	s͈ ɯ ɾ ʌ̹ d͡ʑ i d a̠
쓰레기	s͈ ɯ ɾ e̞ ɡ i
쓰리	s͈ ɯ ɾ i
쓰이다	s͈ ɯ i d a̠
쓰푸	s͈ ɯ pʰ u
쓸데	s͈ ɯ ɭ t͈ e̞
쓸모	s͈ ɯ ɭ m o̞
씌우다	ɕ͈ i u d a̠
씨름	ɕ͈ i ɾ ɯ m
씨앗	ɕ͈ i a̠ t̚
씹거웃	ɕ͈ i p̚ k͈ ʌ̹ u t̚
씹다	ɕ͈ i p̚ t͈ a̠
씹덕	ɕ͈ i p̚ t͈ ʌ̹ k̚
씻다	ɕ͈ i t̚ t͈ a̠
아가미	a̠ ɡ a̠ m i
아가씨	a̠ ɡ a̠ ɕ͈ i
아군	a̠ː ɡ u n
아궁이	a̠ ɡ u ŋ i
아기	a̠ ɡ i
아나운서	a̠ n a̠ u n sʰ ʌ̹
아냐	a̠ ɲ j a̠
아니	a̠ n i
아니다	a̠ n i d a̠
아니메	a̠ n i m e̞
아니면	a̠ n i m j ʌ̹ n
아니야	a̠ n i j a̠
아담	a̠ d a̠ m
아동	a̠ d o̞ ŋ
아들딸	a̠ d ɯ ɭ t͈ a̠ ɭ
아디스아바바	a̠ d i sʰ ɯ a̠ b a̠ b a̠
아라	a̠ ɾ a̠
아라비아	a̠ ɾ a̠ b i a̠
아라한	a̠ ɾ a̠ ɦ a̠ n
아랍	a̠ ɾ a̠ p̚
아랍어	a̠ ɾ a̠ b ʌ̹
아랍에미리트	a̠ ɾ a̠ b e̞ m i ɾ i tʰ ɯ
아련	a̠ ɾ j ʌ̹ n
아련히	a̠ ɾ j ʌ̹ n ʝ i
아론	a̠ ɾ o̞ n
아롱아롱	a̠ ɾ o̞ ŋ a̠ ɾ o̞ ŋ
아르메니아	a̠ ɾ ɯ m e̞ n i a̠
아르메니아어	a̠ ɾ ɯ m e̞ n i a̠ ʌ̹
아르바이트	a̠ ɾ ɯ b a̠ i tʰ ɯ
아름답다	a̠ ɾ ɯ m d a̠ p̚ t͈ a̠
아리	a̠ ɾ i
아리랑	a̠ ɾ i ɾ a̠ ŋ
아리수	a̠ ɾ i sʰ u
아마	a̠ m a̠
아마도	a̠ m a̠ d o̞
아마존	a̠ m a̠ d͡ʑ o̞ n
아마추어	a̠ m a̠ t͡ɕʰ u ʌ̹
아메리카	a̠ m e̞ ɾ i kʰ a̠
아메바	a̠ m e̞ b a̠
아멘	a̠ m e̞ n
아몬드	a̠ m o̞ n d ɯ
아무	a̠ː m u
아무런	a̠ː m u ɾ ʌ̹ n
아무리	a̠ː m u ɾ i
아미노산	a̠ m i n o̞ sʰ a̠ n
아미타불	a̠ m i tʰ a̠ b u ɭ
아민	a̠ m i n
아바나	a̠ b a̠ n a̠
아버님	a̠ b ʌ̹ n i m
아보카도	a̠ b o̞ kʰ a̠ d o̞
아부다비	a̠ b u d a̠ b i
아부자	a̠ b u d͡ʑ a̠
아브라함	a̠ b ɯ ɾ a̠ ɦ a̠ m
아비	a̠ b i
아빠트	a̠ p͈ a̠ tʰ ɯ
아뿔싸	a̠ p͈ u ɭ s͈ a̠
아서	a̠ sʰ ʌ̹
아수라	a̠ː sʰ u ɾ a̠
아순시온	a̠ sʰ u n ɕʰ i o̞ n
아쉬움	a̠ ʃʰ ɥ i u m
아쉽다	a̠ ʃʰ ɥ i p̚ t͈ a̠
아스타나	a̠ sʰ ɯ tʰ a̠ n a̠
아스타틴	a̠ sʰ ɯ tʰ a̠ tʰ i n
아스텍	a̠ sʰ ɯ tʰ e̞ k̚
아스파라거스	a̠ sʰ ɯ pʰ a̠ ɾ a̠ ɡ ʌ̹ sʰ ɯ
아시아	a̠ ɕʰ i a̠
아시타비	a̠ː ɕʰ i tʰ a̠ b i
아악	a̠ː a̠ k̚
아야	a̠ j a̠
아야겠	a̠ j a̠ ɡ e̞ t̚
아연	a̠ j ʌ̹ n
아예	a̠ j e̞
아오자이	a̠ o̞ d͡ʑ a̠ i
아요	a̠ j o
아우구스투스	a̠ u ɡ u sʰ ɯ tʰ u sʰ ɯ
아웃	a̠ u t̚
아유	a̠ j u
아이	a̠ i
아이가	a̠ i ɡ a̠
아이고	a̠ i ɡ o̞
아이다	a̠ i d a̠
아이돌	a̠ i d o̞ ɭ
아이들	a̠ i d ɯ ɭ
아이디	a̠ i d i
아이쇼핑	a̠ i ɕ͈ o pʰ i ŋ
아이슬란드	a̠ i sʰ ɯ ɭ ɭ a̠ n d ɯ
아이콘	a̠ i kʰ o̞ n
아이템	a̠ i tʰ e̞ m
아이티	a̠ i tʰ i
아이폰	a̠ i pʰ o̞ n
아자	a̠ d͡ʑ a̠
아저씨	a̠ d͡ʑ ʌ̹ ɕ͈ i
아점	a̠ d͡ʑ ʌ̹ m
아제르바이잔	a̠ d͡ʑ e̞ ɾ ɯ b a̠ i d͡ʑ a̠ n
아제티딘	a̠ d͡ʑ e̞ tʰ i d i n
아주	a̠ d͡ʑ u
아주머니	a̠ d͡ʑ u m ʌ̹ n i
아줄렌	a̠ d͡ʑ u ɭ ɭ e̞ n
아즈바이	a̠ d͡ʑ ɯ b a̠ i
아지트	a̠ d͡ʑ i tʰ ɯ
아직	a̠ d͡ʑ i k̚
아체쥐	a̠ t͡ɕʰ e̞ d͡ʑ ɥ i
아카데미	a̠ kʰ a̠ d e̞ m i
아코디언	a̠ kʰ o̞ d i ʌ̹ n
아크라	a̠ k x ɯ ɾ a̠
아크리딘	a̠ k x ɯ ɾ i d i n
아테네	a̠ tʰ e̞ n e̞
아틀리에	a̠ tʰ ɯ ʎ ʎ i e̞
아티초크	a̠ tʰ i t͡ɕʰ o̞ k x ɯ
아파르트헤이트	a̠ pʰ a̠ ɾ ɯ tʰ ɯ ɦ e̞ i tʰ ɯ
아파트	a̠ pʰ a̠ tʰ ɯ
아편	a̠ pʰ j ʌ̹ n
아프가니스탄	a̠ pʰ ɯ ɡ a̠ n i sʰ ɯ tʰ a̠ n
아프다	a̠ pʰ ɯ d a̠
아프로디테	a̠ pʰ ɯ ɾ o̞ d i tʰ e̞
아프리카	a̠ pʰ ɯ ɾ i kʰ a̠
아휴	a̠ ʝ j u
아흐레	a̠ ɣ ɯ ɾ e̞
악곡	a̠ k̚ k͈ o̞ k̚
악단	a̠ k̚ t͈ a̠ n
악당	a̠ k̚ t͈ a̠ ŋ
악동	a̠ k̚ t͈ o̞ ŋ
악력	a̠ ŋ ɲ j ʌ̹ k̚
악마	a̠ ŋ m a̠
악몽	a̠ ŋ m o̞ ŋ
악성	a̠ k s͈ ʌ̹ ŋ
악수	a̠ k s͈ u
악습	a̠ k s͈ ɯ p̚
악어	a̠ ɡ ʌ̹
악영향	a̠ ɡ j ʌ̹ ŋ ʝ j a̠ ŋ
악인	a̠ ɡ i n
악취	a̠ k̚ t͡ɕʰ ɥ i
악평	a̠ k̚ pʰ j ʌ̹ ŋ
악한	a̠ kʰ a̠ n
안경	a̠ː n ɡ j ʌ̹ ŋ
안과	a̠ː n k͈ w a̠
안녕	a̠ n ɲ j ʌ̹ ŋ
안녕히	a̠ n ɲ j ʌ̹ ŋ ʝ i
안다	a̠ː n t͈ a̠
안도라	a̠ n d o̞ ɾ a̠
안되다	a̠ n d w e̞ d a̠
안드레아	a̠ n d ɯ ɾ e̞ a̠
안드로이드	a̠ n d ɯ ɾ o̞ i d ɯ
안락사	a̠ ɭ ɭ a̠ k s͈ a̠
안락의자	a̠ ɭ ɭ a̠ ɡ ɰ i d͡ʑ a̠
안마	a̠ː n m a̠
안면승마	a̠ n m j ʌ̹ n sʰ ɯ ŋ m a̠
안방	a̠ n b a̠ ŋ
안부	a̠ n b u
안심	a̠ n ɕʰ i m
안심하다	a̠ n ɕʰ i m ɦ a̠ d a̠
안전	a̠ ɲ d͡ʑ ʌ̹ n
안전제일	a̠ ɲ d͡ʑ ʌ̹ ɲ d͡ʑ e̞ i ɭ
안절부절	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɭ
안절부절못하다	a̠ ɲ d͡ʑ ʌ̹ ɭ b u d͡ʑ ʌ̹ ɭ m o̞ tʰ a̠ d a̠
안주	a̠ ɲ d͡ʑ u
안쪽	a̠ ɲ t͡ɕ͈ o̞ k̚
안타	a̠ n tʰ a̠
안타나나리보	a̠ n tʰ a̠ n a̠ n a̠ ɾ i b o̞
안티	a̠ n tʰ i
안후이	a̠ n β u i
안휘	a̠ n ɦ ɥ i
알거지	a̠ ɭ ɡ ʌ̹ d͡ʑ i
알고리즘	a̠ ɭ ɡ o̞ ɾ i d͡ʑ ɯ m
알곡	a̠ ɭ ɡ o̞ k̚
알까기	a̠ ɭ k͈ a̠ ɡ i
알다	a̠ː ɭ d a̠
알데히드	a̠ ɭ d e̞ ʝ i d ɯ
알라	a̠ ɭ ɭ a̠
알레르기	a̠ ɭ ɭ e̞ ɾ ɯ ɡ i
알렉산드리아	a̠ ɭ ɭ e̞ k s͈ a̠ n d ɯ ɾ i a̠
알려지다	a̠ ʎ ʎ j ʌ̹ d͡ʑ i d a̠
알력	a̠ ʎ ʎ j ʌ̹ k̚
알루미늄	a̠ ɭ ɭ u m i ɲ j u m
알리고	a̠ ʎ ʎ i ɡ o̞
알리다	a̠ ʎ ʎ i d a̠
알맞다	a̠ ɭ m a̠ t̚ t͈ a̠
알바니아	a̠ ɭ b a̠ n i a̠
알바니아어	a̠ ɭ b a̠ n i a̠ ʌ̹
알아보다	a̠ ɾ a̠ b o̞ d a̠
알약	a̠ ʎ ʎ j a̠ k̚
알제	a̠ ʎ d͡ʑ e̞
알제리	a̠ ʎ d͡ʑ e̞ ɾ i
알칸	a̠ ɭ kʰ a̠ n
알칼로이드	a̠ ɭ kʰ a̠ ɭ ɭ o̞ i d ɯ
알칼리	a̠ ɭ kʰ a̠ ʎ ʎ i
알켄	a̠ ɭ kʰ e̞ n
알콜	a̠ ɭ kʰ o̞ ɭ
알타이	a̠ ɭ tʰ a̠ i
알파	a̠ ɭ pʰ a̠
알판	a̠ ɭ pʰ a̠ n
알현	a̠ ɾ ʝ j ʌ̹ n
앓다	a̠ ɭ tʰ a̠
앓이	a̠ ɾ i
암만	a̠ m m a̠ n
암말	a̠ m m a̠ ɭ
암벽	a̠ m b j ʌ̹ k̚
암살	a̠ m sʰ a̠ ɭ
암스테르담	a̠ m sʰ ɯ tʰ e̞ ɾ ɯ d a̠ m
암시	a̠ː m ɕʰ i
암실	a̠ː m ɕʰ i ɭ
암자	a̠ m d͡ʑ a̠
암초	a̠ː m t͡ɕʰ o̞
암컷	a̠ m kʰ ʌ̹ t̚
암탉	a̠ m tʰ a̠ k̚
암향	a̠ː m ʝ j a̠ ŋ
암호	a̠ː m β o̞
암흑	a̠ː m ɣ ɯ k̚
압도	a̠ p̚ t͈ o̞
압또부스	a̠ p̚ t͈ o̞ b u sʰ ɯ
압력	a̠ m ɲ j ʌ̹ k̚
압박	a̠ p̚ p͈ a̠ k̚
앙골라	a̠ ŋ ɡ o̞ ɭ ɭ a̠
앙상블	a̠ ŋ sʰ a̠ ŋ b ɯ ɭ
앙숙	a̠ ŋ sʰ u k̚
앙심	a̠ ŋ ɕʰ i m
앙이다	a̠ ŋ i d a̠
앙카라	a̠ ŋ kʰ a̠ ɾ a̠
앙케트	a̠ ŋ kʰ e̞ tʰ ɯ
앞다리	a̠ p̚ t͈ a̠ ɾ i
앞뒤	a̠ p̚ t͈ ɥ i
앞면	a̠ m m j ʌ̹ n
앞서	a̠ p s͈ ʌ̹
앞서다	a̠ p s͈ ʌ̹ d a̠
앞에서	a̠ pʰ e̞ sʰ ʌ̹
앞으로	a̠ pʰ ɯ ɾ o̞
애교	ɛː ɡ j o
애국심	ɛː ɡ u k ɕ͈ i m
애국자	ɛː ɡ u k̚ t͡ɕ͈ a̠
애국주의	ɛː ɡ u k̚ t͡ɕ͈ u ɰ i
애쓰다	ɛː s͈ ɯ d a̠
애완동물	ɛː w a̠ n d o̞ ŋ m u ɭ
애인	ɛː i n
애정	ɛː d͡ʑ ʌ̹ ŋ
애칭	ɛː t͡ɕʰ i ŋ
야경	j a̠ː ɡ j ʌ̹ ŋ
야구장	j a̠ː ɡ u d͡ʑ a̠ ŋ
야당	j a̠ː d a̠ ŋ
야마토	j a̠ m a̠ tʰ o̞
야무수크로	j a̠ m u sʰ u k x ɯ ɾ o̞
야민정음	j a̠ m i ɲ d͡ʑ ʌ̹ ŋ ɯ m
야식	j a̠ː ɕʰ i k̚
야자나무	j a̠ː d͡ʑ a̠ n a̠ m u
야자수	j a̠ː d͡ʑ a̠ sʰ u
야쿠자	j a̠ kʰ u d͡ʑ a̠
야하다	j a̠ː ɦ a̠ d a̠
야한	j a̠ː ɦ a̠ n
야훼	j a̠ β w e̞
약국	j a̠ k̚ k͈ u k̚
약도	j a̠ k̚ t͈ o̞
약력	j a̠ ŋ ɲ j ʌ̹ k̚
약사	j a̠ k s͈ a̠
약속	j a̠ k s͈ o̞ k̚
약식	j a̠ k ɕ͈ i k̚
약실	j a̠ k ɕ͈ i ɭ
약자	j a̠ k̚ t͡ɕ͈ a̠
약점	j a̠ k̚ t͡ɕ͈ ʌ̹ m
약주	j a̠ k̚ t͡ɕ͈ u
약칭	j a̠ k̚ t͡ɕʰ i ŋ
약탈	j a̠ k̚ tʰ a̠ ɭ
약품	j a̠ k̚ pʰ u m
약하다	j a̠ kʰ a̠ d a̠
약학	j a̠ kʰ a̠ k̚
약혼	j a̠ kʰ o̞ n
양곤	j a̠ ŋ ɡ o̞ n
양국	j a̠ ŋ ɡ u k̚
양귀비	j a̠ ŋ ɡ ɥ i b i
양귀자	j a̠ ŋ ɡ ɥ i d͡ʑ a̠
양념	j a̠ ŋ ɲ j ʌ̹ m
양다리	j a̠ ŋ d a̠ ɾ i
양동이	j a̠ ŋ d o̞ ŋ i
양력	j a̠ ŋ ɲ j ʌ̹ k̚
양말	j a̠ ŋ m a̠ ɭ
양면	j a̠ ŋ m j ʌ̹ n
양반	j a̠ ŋ b a̠ n
양복	j a̠ ŋ b o̞ k̚
양봉	j a̠ː ŋ b o̞ ŋ
양상	j a̠ ŋ sʰ a̠ ŋ
양성자	j a̠ ŋ sʰ ʌ̹ ŋ d͡ʑ a̠
양수사	j a̠ ŋ sʰ u sʰ a̠
양식	j a̠ ŋ ɕʰ i k̚
양심	j a̠ ŋ ɕʰ i m
양유	j a̠ ŋ j u
양조장	j a̠ː ŋ d͡ʑ o̞ d͡ʑ a̠ ŋ
양주	j a̠ ŋ d͡ʑ u
양즈	j a̠ ŋ d͡ʑ ɯ
양쪽	j a̠ː ŋ t͡ɕ͈ o̞ k̚
양초	j a̠ ŋ t͡ɕʰ o̞
양파	j a̠ ŋ pʰ a̠
양피지	j a̠ ŋ pʰ i d͡ʑ i
얕다	j a̠ t̚ t͈ a̠
얘기	j ɛː ɡ i
어간	ɘː ɡ a̠ n
어감	ɘː ɡ a̠ m
어구	ɘː ɡ u
어그러지다	ʌ̹ ɡ ɯ ɾ ʌ̹ d͡ʑ i d a̠
어근	ɘː ɡ ɯ n
어금니	ʌ̹ ɡ ɯ m n i
어긋나다	ʌ̹ ɡ ɯ n n a̠ d a̠
어느	ʌ̹ n ɯ
어둡다	ʌ̹ d u p̚ t͈ a̠
어드벤처	ʌ̹ d ɯ b e̞ ɲ t͡ɕʰ ʌ̹
어디	ʌ̹ d i
어딘가	ʌ̹ d i n ɡ a̠
어떡하다	ʌ̹ t͈ ʌ̹ kʰ a̠ d a̠
어떻게	ʌ̹ t͈ ʌ̹ kʰ e̞
어떻다	ʌ̹ t͈ ʌ̹ tʰ a̠
어란	ʌ̹ ɾ a̠ n
어려움	ʌ̹ ɾ j ʌ̹ u m
어렴풋이	ʌ̹ ɾ j ʌ̹ m pʰ u ɕʰ i
어렵다	ʌ̹ ɾ j ʌ̹ p̚ t͈ a̠
어뢰	ʌ̹ ɾ w e̞
어름치	ʌ̹ ɾ ɯ m t͡ɕʰ i
어리다	ʌ̹ ɾ i d a̠
어리석다	ʌ̹ ɾ i sʰ ʌ̹ k̚ t͈ a̠
어린아이	ʌ̹ ɾ i n a̠ i
어린이	ʌ̹ ɾ i n i
어린이집	ʌ̹ ɾ i n i d͡ʑ i p̚
어머	ʌ̹ m ʌ̹
어머나	ɘː m ʌ̹ n a̠
어머니	ʌ̹ m ʌ̹ n i
어머님	ʌ̹ m ʌ̹ n i m
어묵	ʌ̹ m u k̚
어버이	ʌ̹ b ʌ̹ i
어부	ʌ̹ b u
어서	ʌ̹ sʰ ʌ̹
어여머리	ʌ̹ j ʌ̹ m ʌ̹ ɾ i
어요	ʌ̹ j o
어울리다	ʌ̹ u ʎ ʎ i d a̠
어원	ɘː w ʌ̹ n
어이	ʌ̹ i
어장관리	ʌ̹ d͡ʑ a̠ ŋ ɡ w a̠ ʎ ʎ i
어제	ʌ̹ d͡ʑ e̞
어젯밤	ʌ̹ d͡ʑ e̞ t̚ p͈ a̠ m
어족	ɘː d͡ʑ o̞ k̚
어줍잖다	ʌ̹ d͡ʑ u p̚ t͡ɕ͈ a̠ n tʰ a̠
어즈버	ʌ̹ d͡ʑ ɯ b ʌ̹
어지럽다	ʌ̹ d͡ʑ i ɾ ʌ̹ p̚ t͈ a̠
어쩌다	ʌ̹ t͡ɕ͈ ʌ̹ d a̠
어쩌면	ʌ̹ t͡ɕ͈ ʌ̹ m j ʌ̹ n
어쭙잖다	ʌ̹ t͡ɕ͈ u p̚ t͡ɕ͈ a̠ n tʰ a̠
어차피	ʌ̹ t͡ɕʰ a̠ pʰ i
어치	ʌ̹ t͡ɕʰ i
어형	ʌ̹ ʝ j ʌ̹ ŋ
어휘소	ʌ̹ ɦ ɥ i sʰ o̞
어휘장	ɘː ɦ ɥ i d͡ʑ a̠ ŋ
억류	ʌ̹ ŋ ɲ j u
억수	ʌ̹ k s͈ u
억압	ʌ̹ ɡ a̠ p̚
억울하다	ʌ̹ ɡ u ɾ ɦ a̠ d a̠
억지	ʌ̹ k̚ t͡ɕ͈ i
언간	ʌ̹ n ɡ a̠ n
언니	ʌ̹ n n i
언덕	ʌ̹ n d ʌ̹ k̚
언론학	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚
언론학자	ʌ̹ ɭ ɭ o̞ n ɦ a̠ k̚ t͡ɕ͈ a̠
언문	ɘː n m u n
언어	ʌ̹ n ʌ̹
언어학	ʌ̹ n ʌ̹ ɦ a̠ k̚
언제	ɘː ɲ d͡ʑ e̞
언제나	ɘː ɲ d͡ʑ e̞ n a̠
언젠가	ɘː ɲ d͡ʑ e̞ n ɡ a̠
얼룩말	ʌ̹ ɭ ɭ u ŋ m a̠ ɭ
얼른	ʌ̹ ɭ ɭ ɯ n
얼리다	ʌ̹ ʎ ʎ i d a̠
얼마나	ʌ̹ ɭ m a̠ n a̠
얼쑤	ʌ̹ ɭ s͈ u
얼어붙다	ʌ̹ ɾ ʌ̹ b u t̚ t͈ a̠
얼음과자	ʌ̹ ɾ ɯ m ɡ w a̠ d͡ʑ a̠
얼짱	ʌ̹ ʎ t͡ɕ͈ a̠ ŋ
얼핏	ʌ̹ ɭ pʰ i t̚
엄격	ʌ̹ m k͈ j ʌ̹ k̚
엄격하다	ʌ̹ m k͈ j ʌ̹ kʰ a̠ d a̠
엄니	ɘː m n i
엄마	ʌ̹ m m a̠
엄습	ɘː m sʰ ɯ p̚
엄습하다	ɘː m sʰ ɯ pʰ a̠ d a̠
엄지	ʌ̹ m d͡ʑ i
엄지손가락	ʌ̹ m d͡ʑ i sʰ o̞ n ɡ a̠ ɾ a̠ k̚
엄청	ʌ̹ m t͡ɕʰ ʌ̹ ŋ
엄청나다	ʌ̹ m t͡ɕʰ ʌ̹ ŋ n a̠ d a̠
업그레이드	ʌ̹ p̚ k͈ ɯ ɾ e̞ i d ɯ
업다	ʌ̹ p̚ t͈ a̠
업동이	ʌ̹ p̚ t͈ o̞ ŋ i
업소	ʌ̹ p s͈ o̞
업종	ʌ̹ p̚ t͡ɕ͈ o̞ ŋ
없어지다	ɘː p s͈ ʌ̹ d͡ʑ i d a̠
없었다	ʌ̹ p s͈ ʌ̹ t̚ t͈ a̠
없이	ɘː p ɕ͈ i
엇비슷하다	ʌ̹ t̚ p͈ i sʰ ɯ tʰ a̠ d a̠
엉겁결에	ʌ̹ ŋ ɡ ʌ̹ p̚ k͈ j ʌ̹ ɾ e̞
엉뚱하다	ʌ̹ ŋ t͈ u ŋ ɦ a̠ d a̠
엉망진창	ʌ̹ ŋ m a̠ ŋ d͡ʑ i ɲ t͡ɕʰ a̠ ŋ
엉엉	ʌ̹ ŋ ʌ̹ ŋ
엉큼하다	ʌ̹ ŋ k x ɯ m ɦ a̠ d a̠
엊그제	ʌ̹ t̚ k͈ ɯ d͡ʑ e̞
에게	e̞ ɡ e̞
에너지	e̞ n ʌ̹ d͡ʑ i
에네르기	e̞ n e̞ ɾ ɯ ɡ i
에는	e̞ n ɯ n
에러	e̞ ɾ ʌ̹
에리트레아	e̞ ɾ i tʰ ɯ ɾ e̞ a̠
에멜무지로	e̞ m e̞ ɭ m u d͡ʑ i ɾ o̞
에뮤	e̞ m j u
에미리트	e̞ m i ɾ i tʰ ɯ
에스컬레이터	e̞ sʰ ɯ kʰ ʌ̹ ɭ ɭ e̞ i tʰ ʌ̹
에스터	e̞ sʰ ɯ tʰ ʌ̹
에스토니아	e̞ sʰ ɯ tʰ o̞ n i a̠
에스토니아어	e̞ sʰ ɯ tʰ o̞ n i a̠ ʌ̹
에스파냐	e̞ sʰ ɯ pʰ a̠ ɲ j a̠
에어컨	e̞ ʌ̹ kʰ ʌ̹ n
에어컨디셔너	e̞ ʌ̹ kʰ ʌ̹ n d i ɕʰ ʌ̹ n ʌ̹
에이즈	e̞ i d͡ʑ ɯ
에잇	e̞ i t̚
에콰도르	e̞ kʰ w a̠ d o̞ ɾ ɯ
에탄	e̞ tʰ a̠ n
에터	e̞ tʰ ʌ̹
에테르	e̞ tʰ e̞ ɾ ɯ
에티오피아	e̞ tʰ i o̞ pʰ i a̠
에티켓	e̞ tʰ i kʰ e̞ t̚
에피소드	e̞ pʰ i sʰ o̞ d ɯ
엔진	e̞ ɲ d͡ʑ i n
엘리베이터	e̞ ʎ ʎ i b e̞ i tʰ ʌ̹
엘리트	e̞ ʎ ʎ i tʰ ɯ
엘살바도르	e̞ ɭ sʰ a̠ ɭ b a̠ d o̞ ɾ ɯ
엥가노쥐	e̞ ŋ ɡ a̠ n o̞ d͡ʑ ɥ i
여가	j ʌ̹ ɡ a̠
여건	j ɘː k͈ ʌ̹ n
여겨지다	j ʌ̹ ɡ j ʌ̹ d͡ʑ i d a̠
여과	j ɘː ɡ w a̠
여과기	j ɘː ɡ w a̠ ɡ i
여관	j ʌ̹ ɡ w a̠ n
여권	j ʌ̹ k͈ w ʌ̹ n
여기	j ʌ̹ ɡ i
여기다	j ʌ̹ ɡ i d a̠
여기저기	j ʌ̹ ɡ i d͡ʑ ʌ̹ ɡ i
여뀌	j ʌ̹ k͈ ɥ i
여남은	j ʌ̹ n a̠ m ɯ n
여당	j ɘː d a̠ ŋ
여덟	j ʌ̹ d ʌ̹ ɭ
여돌	j ʌ̹ d o̞ ɭ
여드레	j ʌ̹ d ɯ ɾ e̞
여든	j ʌ̹ d ɯ n
여러분	j ʌ̹ ɾ ʌ̹ b u n
여럿	j ʌ̹ ɾ ʌ̹ t̚
여론	j ɘː ɾ o̞ n
여름	j ʌ̹ ɾ ɯ m
여보	j ʌ̹ b o̞
여보세요	j ʌ̹ b o̞ sʰ e̞ j o
여섯	j ʌ̹ sʰ ʌ̹ t̚
여성	j ʌ̹ sʰ ʌ̹ ŋ
여성주의	j ʌ̹ sʰ ʌ̹ ŋ d͡ʑ u ɰ i
여신	j ʌ̹ ɕʰ i n
여와	j ʌ̹ w a̠
여왕	j ʌ̹ w a̠ ŋ
여우비	j ʌ̹ u b i
여인	j ʌ̹ i n
여자	j ʌ̹ d͡ʑ a̠
여자아이	j ʌ̹ d͡ʑ a̠ a̠ i
여자친구	j ʌ̹ d͡ʑ a̠ t͡ɕʰ i n ɡ u
여장	j ʌ̹ d͡ʑ a̠ ŋ
여전하다	j ʌ̹ d͡ʑ ʌ̹ n ɦ a̠ d a̠
여정	j ʌ̹ d͡ʑ ʌ̹ ŋ
여제	j ʌ̹ d͡ʑ e̞
여진	j ʌ̹ d͡ʑ i n
여쭈다	j ɘː t͡ɕ͈ u d a̠
여체	j ʌ̹ t͡ɕʰ e̞
여초	j ʌ̹ t͡ɕʰ o̞
여하	j ʌ̹ ɦ a̠
역겹다	j ʌ̹ k̚ k͈ j ʌ̹ p̚ t͈ a̠
역경	j ʌ̹ k̚ k͈ j ʌ̹ ŋ
역사	j ʌ̹ k s͈ a̠
역사가	j ʌ̹ k s͈ a̠ ɡ a̠
역시	j ʌ̹ k ɕ͈ i
역학	j ʌ̹ kʰ a̠ k̚
연가	j ɘː n ɡ a̠
연간	j ʌ̹ n ɡ a̠ n
연감	j ʌ̹ n ɡ a̠ m
연결	j ʌ̹ n ɡ j ʌ̹ ɭ
연결되다	j ʌ̹ n ɡ j ʌ̹ ɭ d w e̞ d a̠
연결하다	j ʌ̹ n ɡ j ʌ̹ ɾ ɦ a̠ d a̠
연고	j ɘː n ɡ o̞
연구	j ɘː n ɡ u
연구되다	j ʌ̹ n ɡ u d w e̞ d a̠
연구소	j ʌ̹ n ɡ u sʰ o̞
연구실	j ʌ̹ n ɡ u ɕʰ i ɭ
연구자	j ɘː n ɡ u d͡ʑ a̠
연극	j ɘː n ɡ ɯ k̚
연근	j ʌ̹ n ɡ ɯ n
연금	j ʌ̹ n ɡ ɯ m
연기자	j ɘː n ɡ i d͡ʑ a̠
연꽃	j ʌ̹ n k͈ o̞ t̚
연락처	j ʌ̹ ɭ ɭ a̠ k̚ t͡ɕʰ ʌ̹
연령	j ʌ̹ ʎ ʎ j ʌ̹ ŋ
연말	j ʌ̹ n m a̠ ɭ
연못	j ʌ̹ n m o̞ t̚
연방	j ʌ̹ n b a̠ ŋ
연설	j ɘː n sʰ ʌ̹ ɭ
연설자	j ɘː n sʰ ʌ̹ ʎ t͡ɕ͈ a̠
연세	j ʌ̹ n sʰ e̞
연속	j ʌ̹ n sʰ o̞ k̚
연속극	j ʌ̹ n sʰ o̞ k̚ k͈ ɯ k̚
연습	j ɘː n sʰ ɯ p̚
연습하다	j ɘː n sʰ ɯ pʰ a̠ d a̠
연안	j ʌ̹ n a̠ n
연어	j ʌ̹ n ʌ̹
연옥	j ɘː n o̞ k̚
연월일	j ʌ̹ n w ʌ̹ ɾ i ɭ
연장	j ʌ̹ ɲ d͡ʑ a̠ ŋ
연적	j ɘː ɲ d͡ʑ ʌ̹ k̚
연주	j ɘː ɲ d͡ʑ u
